Date,Value
198502,-1.440
198503,0.551
198504,0.652
198505,-0.432
198506,-0.347
198507,-0.390
198508,-0.001
198509,0.114
198510,1.035
198511,-1.218
198512,-1.948
198601,-0.568
198602,-2.904
198603,1.931
198604,0.103
198605,0.367
198606,0.535
198607,-0.008
198608,-0.826
198609,-0.023
198610,1.425
198611,0.926
198612,0.060
198701,-1.148
198702,-1.473
198703,-1.746
198704,0.387
198705,0.325
198706,-0.710
198707,-0.466
198708,-0.836
198709,0.287
198710,-0.080
198711,-0.536
198712,-0.534
198801,0.265
198802,-1.066
198803,-0.197
198804,-0.561
198805,-0.846
198806,0.061
198807,-0.143
198808,0.255
198809,1.039
198810,0.032
198811,-0.035
198812,1.679
198901,3.106
198902,3.279
198903,1.530
198904,-0.250
198905,0.889
198906,0.345
198907,0.866
198908,0.551
198909,0.703
198910,0.991
198911,0.034
198912,-0.644
199001,1.001
199002,3.402
199003,2.990
199004,1.879
199005,0.943
199006,0.304
199007,-0.296
199008,-0.180
199009,-0.210
199010,0.660
199011,0.521
199012,1.277
199101,0.723
199102,-0.876
199103,-0.527
199104,0.530
199105,0.486
199106,-0.115
199107,-0.188
199108,0.797
199109,-0.112
199110,-0.252
199111,0.285
199112,1.613
199201,0.550
199202,1.122
199203,0.984
199204,-0.521
199205,1.341
199206,-0.302
199207,0.191
199208,0.535
199209,-0.640
199210,-0.366
199211,0.717
199212,1.627
199301,3.495
199302,0.184
199303,0.764
199304,-0.435
199305,-1.607
199306,-0.520
199307,-0.511
199308,-0.393
199309,-0.361
199310,-0.565
199311,1.002
199312,-0.104
199401,-0.288
199402,-0.862
199403,1.881
199404,0.225
199405,-0.115
199406,1.606
199407,0.351
199408,0.828
199409,-0.084
199410,0.174
199411,1.779
199412,0.894
199501,-0.154
199502,1.429
199503,0.393
199504,-0.963
199505,-0.891
199506,-0.112
199507,-0.217
199508,0.544
199509,-0.549
199510,0.075
199511,-0.723
199512,-2.127
199601,-1.200
199602,0.163
199603,-1.483
199604,-1.525
199605,-0.226
199606,0.497
199607,0.715
199608,0.125
199609,-1.140
199610,0.183
199611,0.136
199612,-1.721
199701,-0.457
199702,1.889
199703,1.091
199704,0.324
199705,-0.961
199706,-0.815
199707,-0.431
199708,0.121
199709,0.195
199710,-0.700
199711,-0.661
199712,-0.071
199801,-2.081
199802,-0.183
199803,-0.254
199804,-0.038
199805,0.429
199806,-0.711
199807,-0.212
199808,0.650
199809,-1.050
199810,0.294
199811,-1.449
199812,1.353
199901,0.110
199902,0.482
199903,-1.492
199904,0.284
199905,0.226
199906,0.707
199907,-0.002
199908,-0.672
199909,0.059
199910,-0.006
199911,0.611
199912,1.043
200001,1.270
200002,1.076
200003,-0.451
200004,-0.279
200005,0.969
200006,0.586
200007,-0.649
200008,0.144
200009,0.395
200010,0.317
200011,-1.581
200012,-2.354
200101,-0.959
200102,-0.622
200103,-1.687
200104,0.906
200105,0.452
200106,-0.015
200107,-0.031
200108,0.521
200109,-0.707
200110,0.707
200111,0.819
200112,-1.322
200201,1.381
200202,1.304
200203,0.902
200204,0.748
200205,0.401
200206,0.573
200207,0.328
200208,-0.229
200209,-0.043
200210,-1.489
200211,-1.425
200212,-1.592
200301,-0.472
200302,0.128
200303,0.933
200304,-0.178
200305,1.017
200306,-0.102
200307,0.075
200308,-0.280
200309,0.467
200310,-0.670
200311,0.642
200312,0.265
200401,-1.686
200402,-1.528
200403,0.318
200404,-0.409
200405,-0.094
200406,-0.236
200407,-0.201
200408,-0.720
200409,0.855
200410,-0.515
200411,0.678
200412,1.230
200501,0.356
200502,-1.271
200503,-1.348
200504,-0.046
200505,-0.763
200506,-0.383
200507,-0.030
200508,0.026
200509,0.802
200510,0.030
200511,0.228
200512,-2.104
200601,-0.170
200602,-0.156
200603,-1.604
200604,0.138
200605,0.156
200606,1.071
200607,0.103
200608,-0.265
200609,0.606
200610,-1.029
200611,0.521
200612,2.282
200701,2.034
200702,-1.307
200703,1.182
200704,0.544
200705,0.894
200706,-0.555
200707,-0.397
200708,-0.034
200709,0.179
200710,0.383
200711,-0.519
200712,0.821
200801,0.819
200802,0.938
200803,0.586
200804,-0.455
200805,-1.205
200806,-0.090
200807,-0.480
200808,-0.080
200809,-0.327
200810,1.676
200811,0.092
200812,0.648
200901,0.800
200902,-0.672
200903,0.121
200904,0.973
200905,1.194
200906,-1.351
200907,-1.356
200908,-0.054
200909,0.875
200910,-1.540
200911,0.459
200912,-3.413
201001,-2.587
201002,-4.266
201003,-0.432
201004,-0.275
201005,-0.919
201006,-0.013
201007,0.435
201008,-0.117
201009,-0.865
201010,-0.467
201011,-0.376
201012,-2.631
201101,-1.683
201102,1.575
201103,1.424
201104,2.275
201105,-0.035
201106,-0.858
201107,-0.472
201108,-1.063
201109,0.665
201110,0.800
201111,1.459
201112,2.221
201201,-0.220
201202,-0.036
201203,1.037
201204,-0.035
201205,0.168
201206,-0.672
201207,0.168
201208,0.014
201209,0.772
201210,-1.514
201211,-0.111
201212,-1.749
201301,-0.610
201302,-1.007
201303,-3.185
201304,0.322
201305,0.494
201306,0.549
201307,-0.011
201308,0.154
201309,-0.461
201310,0.263
201311,2.029
201312,1.475
201401,-0.969
201402,0.044
201403,1.206
201404,0.972
201405,0.464
201406,-0.507
201407,-0.489
201408,-0.372
201409,0.102
201410,-1.134
201411,-0.530
201412,0.413
201501,1.092
201502,1.043
201503,1.837
201504,1.216
201505,0.763
201506,0.427
201507,-1.108
201508,-0.689
201509,-0.165
201510,-0.250
201511,1.945
201512,1.444
201601,-1.449
201602,-0.024
201603,0.280
201604,-1.051
201605,-0.036
201606,0.313
201607,0.085
201608,0.472
201609,0.781
201610,-1.917
201611,-0.611
201612,1.786
201701,0.942
201702,0.340
201703,1.365
201704,-0.089
201705,-0.730
201706,0.402
201707,0.634
201708,0.150
201709,-0.492
201710,0.690
201711,-0.078
201712,-0.059
201801,-0.281
201802,0.113
201803,-0.941
201804,0.544
201805,1.180
201806,0.380
201807,0.612
201808,0.836
201809,0.585
201810,0.413
201811,-1.116
201812,0.110
201901,-0.713
201902,1.149
201903,2.116
201904,-0.255
201905,-1.231
201906,-0.601
201907,-0.890
201908,-0.722
201909,0.306
201910,-0.082
201911,-1.193
201912,0.412
202001,2.419
202002,3.417
202003,2.641
202004,0.928
202005,-0.027
202006,-0.122
202007,-0.412
202008,-0.381
202009,0.631
