,Temperature_C
1979-01-01,-1.8
1979-02-01,-0.84
1979-03-01,-0.25
1979-04-01,1.74
1979-05-01,6.5
1979-06-01,13.45
1979-07-01,15.85
1979-08-01,14.45
1979-09-01,10.85
1979-10-01,6.05
1979-11-01,2.34
1979-12-01,0.09
1980-01-01,-1.4
1980-02-01,0.15
1980-03-01,-0.35
1980-04-01,4.2
1980-05-01,11.0
1980-06-01,12.4
1980-07-01,15.05
1980-08-01,15.25
1980-09-01,8.84
1980-10-01,3.8
1980-11-01,1.15
1980-12-01,0.79
1981-01-01,-1.09
1981-02-01,0.15
1981-03-01,0.15
1981-04-01,3.05
1981-05-01,9.05
1981-06-01,6.75
1981-07-01,13.6
1981-08-01,11.75
1981-09-01,10.4
1981-10-01,4.69
1981-11-01,2.6
1981-12-01,-0.84
