,Temperature_C
1979-01-01,-36.8
1979-02-01,-40.09
1979-03-01,-31.2
1979-04-01,-23.5
1979-05-01,-10.1
1979-06-01,-1.9
1979-07-01,2.2
1979-08-01,1.5
1979-09-01,-2.0
1979-10-01,-13.4
1979-11-01,-28.1
1979-12-01,-29.0
1980-01-01,-32.2
1980-02-01,-31.2
1980-03-01,-29.9
1980-04-01,-23.6
1980-05-01,-8.1
1980-06-01,0.7
1980-07-01,4.1
1980-08-01,5.5
1980-09-01,1.2
1980-10-01,-10.6
1980-11-01,-26.3
1980-12-01,-29.5
1981-01-01,-24.1
1981-02-01,-30.3
1981-03-01,-26.8
1981-04-01,-18.79
1981-05-01,-10.0
1981-06-01,0.1
1981-07-01,3.8
1981-08-01,4.3
1981-09-01,-0.6
1981-10-01,-9.0
1981-11-01,-18.6
1981-12-01,-29.3
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,-19.94
1982-05-01,-12.27
1982-06-01,
1982-07-01,2.87
1982-08-01,4.9
1982-09-01,1.4
1982-10-01,-10.1
1982-11-01,-24.0
1982-12-01,-30.4
1983-01-01,-29.5
1983-02-01,-30.1
1983-03-01,-26.5
1983-04-01,-22.4
1983-05-01,-7.6
1983-06-01,0.0
1983-07-01,3.1
1983-08-01,6.8
1983-09-01,1.1
1983-10-01,-9.7
1983-11-01,-22.3
1983-12-01,-28.8
1984-01-01,-27.6
1984-02-01,-33.9
1984-03-01,-29.0
1984-04-01,-22.1
1984-05-01,-10.2
1984-06-01,-1.8
1984-07-01,3.2
1984-08-01,3.1
1984-09-01,-0.7
1984-10-01,-10.08
1984-11-01,-22.2
1984-12-01,-27.6
1985-01-01,-32.5
1985-02-01,-28.1
1985-03-01,-30.3
1985-04-01,-22.5
1985-05-01,-9.8
1985-06-01,-0.3
1985-07-01,1.5
1985-08-01,2.6
1985-09-01,0.8
1985-10-01,-10.9
1985-11-01,-19.9
1985-12-01,-25.4
1986-01-01,-35.56
1986-02-01,
1986-03-01,-29.52
1986-04-01,
1986-05-01,-8.45
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,-32.81
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,-32.89
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,-0.68
1988-10-01,
1988-11-01,
1988-12-01,-25.53
1989-01-01,
1989-02-01,-28.33
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,3.0
1989-09-01,-0.8
1989-10-01,-14.1
1989-11-01,-27.6
1989-12-01,-28.2
1990-01-01,-30.8
1990-02-01,-31.3
1990-03-01,-22.5
1990-04-01,-17.9
1990-05-01,-4.4
1990-06-01,1.1
1990-07-01,3.2
1990-08-01,7.4
1990-09-01,0.9
1990-10-01,-10.5
1990-11-01,-27.2
1990-12-01,-32.3
1991-01-01,-32.2
1991-02-01,-33.4
1991-03-01,-27.4
1991-04-01,-20.29
1991-05-01,-7.8
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,1.42
1991-10-01,-14.25
1991-11-01,-22.07
1991-12-01,-23.66
1992-01-01,-33.3
1992-02-01,-32.3
1992-03-01,-30.0
1992-04-01,-19.79
1992-05-01,-8.6
1992-06-01,-1.1
1992-07-01,2.9
1992-08-01,1.6
1992-09-01,-2.0
1992-10-01,-16.4
1992-11-01,-27.1
1992-12-01,-30.3
1993-01-01,-31.2
1993-02-01,
1993-03-01,
1993-04-01,-19.5
1993-05-01,-6.8
1993-06-01,0.7
1993-07-01,2.9
1993-08-01,7.0
1993-09-01,0.0
1993-10-01,-12.7
1993-11-01,-25.8
1993-12-01,-34.2
1994-01-01,-32.59
1994-02-01,-31.3
1994-03-01,-28.6
1994-04-01,-22.6
1994-05-01,-2.6
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,-8.5
1994-11-01,-23.5
1994-12-01,-27.4
1995-01-01,-34.0
1995-02-01,-28.0
1995-03-01,-29.6
1995-04-01,-19.79
1995-05-01,-8.8
1995-06-01,2.1
1995-07-01,5.1
1995-08-01,8.1
1995-09-01,2.2
1995-10-01,-7.8
1995-11-01,-22.7
1995-12-01,-27.5
1996-01-01,-31.7
1996-02-01,-31.1
1996-03-01,
1996-04-01,-20.5
1996-05-01,-10.2
1996-06-01,-2.9
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,-33.09
1997-02-01,-33.09
1997-03-01,-27.9
1997-04-01,-16.4
1997-05-01,-7.7
1997-06-01,-0.6
1997-07-01,4.6
1997-08-01,4.2
1997-09-01,0.1
1997-10-01,-6.3
1997-11-01,-25.1
1997-12-01,-32.3
1998-01-01,-28.4
1998-02-01,-33.8
1998-03-01,-30.7
1998-04-01,-21.0
1998-05-01,-11.0
1998-06-01,-0.4
1998-07-01,4.0
1998-08-01,4.1
1998-09-01,0.2
1998-10-01,-12.6
1998-11-01,-21.5
1998-12-01,-30.8
1999-01-01,-31.8
1999-02-01,-31.5
1999-03-01,-31.3
1999-04-01,-22.1
1999-05-01,-7.9
1999-06-01,
1999-07-01,5.1
1999-08-01,5.5
1999-09-01,0.8
1999-10-01,-11.5
1999-11-01,-24.4
1999-12-01,-29.6
