,Temperature_C
1979-01-01,-26.77
1979-02-01,-34.01
1979-03-01,-31.77
1979-04-01,-20.3
1979-05-01,-7.31
1979-06-01,0.82
1979-07-01,7.03
1979-08-01,4.82
1979-09-01,0.2
1979-10-01,-8.02
1979-11-01,-13.94
1979-12-01,-25.89
1980-01-01,-31.13
1980-02-01,-23.02
1980-03-01,-26.55
1980-04-01,-19.63
1980-05-01,-5.36
1980-06-01,2.38
1980-07-01,5.83
1980-08-01,8.65
1980-09-01,-0.01
1980-10-01,-3.71
1980-11-01,-19.82
1980-12-01,-27.67
1981-01-01,-20.12
1981-02-01,-28.07
1981-03-01,-26.56
1981-04-01,-20.21
1981-05-01,-4.31
1981-06-01,4.27
1981-07-01,7.27
1981-08-01,8.07
1981-09-01,1.9
1981-10-01,-5.5
1981-11-01,-17.51
1981-12-01,-21.79
1982-01-01,
1982-02-01,-28.17
1982-03-01,-28.24
1982-04-01,-21.73
1982-05-01,-7.48
1982-06-01,2.23
1982-07-01,7.16
1982-08-01,4.81
1982-09-01,0.68
1982-10-01,-7.4
1982-11-01,-24.57
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,-28.91
1983-04-01,-19.69
1983-05-01,-13.78
1983-06-01,3.16
1983-07-01,6.91
1983-08-01,6.56
1983-09-01,3.46
1983-10-01,-6.62
1983-11-01,-11.89
1983-12-01,-23.11
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,-15.05
1984-05-01,-3.87
1984-06-01,5.34
1984-07-01,7.85
1984-08-01,6.36
1984-09-01,0.85
1984-10-01,-7.68
1984-11-01,-19.99
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,-22.6
1985-05-01,-2.68
1985-06-01,3.62
1985-07-01,3.72
1985-08-01,4.34
1985-09-01,2.27
1985-10-01,-7.59
1985-11-01,-20.42
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,-28.59
1986-04-01,-19.98
1986-05-01,-7.23
1986-06-01,0.11
1986-07-01,5.34
1986-08-01,4.66
1986-09-01,1.48
1986-10-01,-8.46
1986-11-01,-23.85
1986-12-01,-26.59
1987-01-01,-26.43
1987-02-01,
1987-03-01,-26.9
1987-04-01,-20.06
1987-05-01,-11.01
1987-06-01,1.28
1987-07-01,6.5
1987-08-01,5.02
1987-09-01,2.7
1987-10-01,-5.05
1987-11-01,-20.4
1987-12-01,-20.1
1988-01-01,-27.85
1988-02-01,
1988-03-01,-22.65
1988-04-01,-16.39
1988-05-01,-9.3
1988-06-01,4.84
1988-07-01,9.06
1988-08-01,8.95
1988-09-01,3.28
1988-10-01,
1988-11-01,-22.71
1988-12-01,-26.17
1989-01-01,-31.39
1989-02-01,
1989-03-01,
1989-04-01,-15.79
1989-05-01,-10.01
1989-06-01,4.19
1989-07-01,
1989-08-01,10.59
1989-09-01,1.98
1989-10-01,-7.22
1989-11-01,-24.07
1989-12-01,-28.3
1990-01-01,-30.8
1990-02-01,-35.43
1990-03-01,-22.59
1990-04-01,-15.95
1990-05-01,-7.7
1990-06-01,2.75
1990-07-01,6.86
1990-08-01,4.44
1990-09-01,0.97
1990-10-01,-6.78
1990-11-01,-22.71
1990-12-01,-29.46
1991-01-01,-30.24
1991-02-01,-32.35
1991-03-01,-28.94
1991-04-01,-16.95
1991-05-01,-4.87
1991-06-01,2.65
1991-07-01,6.13
1991-08-01,5.95
1991-09-01,0.35
1991-10-01,-8.69
1991-11-01,-20.22
1991-12-01,-26.94
1992-01-01,-30.98
1992-02-01,-30.21
1992-03-01,-23.28
1992-04-01,-20.5
1992-05-01,-6.58
1992-06-01,2.92
1992-07-01,7.0
1992-08-01,6.35
1992-09-01,-0.79
1992-10-01,-7.77
1992-11-01,-18.54
1992-12-01,-22.84
1993-01-01,-25.45
1993-02-01,
1993-03-01,-23.72
1993-04-01,
1993-05-01,
1993-06-01,
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,-25.1
1995-02-01,-28.21
1995-03-01,-27.22
1995-04-01,-14.93
1995-05-01,-9.1
1995-06-01,3.64
1995-07-01,7.43
1995-08-01,7.28
1995-09-01,0.86
1995-10-01,-8.47
1995-11-01,-17.61
1995-12-01,-29.94
1996-01-01,-29.31
1996-02-01,-26.75
1996-03-01,-25.27
1996-04-01,
1996-05-01,-7.22
1996-06-01,5.43
1996-07-01,10.85
1996-08-01,6.38
1996-09-01,2.97
1996-10-01,-6.83
1996-11-01,-17.5
1996-12-01,-24.95
1997-01-01,-28.05
1997-02-01,-28.37
1997-03-01,-28.03
1997-04-01,-18.53
1997-05-01,-7.71
1997-06-01,2.18
1997-07-01,8.22
1997-08-01,6.28
1997-09-01,
1997-10-01,-9.75
1997-11-01,-12.98
1997-12-01,-23.27
1998-01-01,
1998-02-01,-28.22
1998-03-01,-23.46
1998-04-01,-13.69
1998-05-01,-3.67
1998-06-01,4.57
1998-07-01,10.82
1998-08-01,10.44
1998-09-01,
1998-10-01,-2.47
1998-11-01,-10.89
1998-12-01,-18.43
1999-01-01,-26.42
1999-02-01,-25.49
1999-03-01,-20.38
1999-04-01,-15.73
1999-05-01,-7.69
1999-06-01,2.74
1999-07-01,5.45
1999-08-01,8.22
1999-09-01,3.19
1999-10-01,-7.06
1999-11-01,
1999-12-01,-25.43
