,Temperature_C
1979-01-01,-4.69
1979-02-01,-5.0
1979-03-01,-4.44
1979-04-01,0.9
1979-05-01,7.9
1979-06-01,13.85
1979-07-01,16.54
1979-08-01,13.3
1979-09-01,10.8
1979-10-01,2.79
1979-11-01,0.2
1979-12-01,-1.45
1980-01-01,-4.75
1980-02-01,-3.65
1980-03-01,-3.4
1980-04-01,
1980-05-01,11.15
1980-06-01,13.65
1980-07-01,15.8
1980-08-01,15.2
1980-09-01,8.64
1980-10-01,0.4
1980-11-01,-1.3
1980-12-01,-3.55
1981-01-01,-4.0
1981-02-01,-2.75
1981-03-01,-3.69
1981-04-01,1.34
1981-05-01,7.55
1981-06-01,9.45
1981-07-01,15.95
1981-08-01,10.5
1981-09-01,8.8
1981-10-01,4.55
1981-11-01,-0.4
1981-12-01,-4.9
1982-01-01,-3.15
1982-02-01,-0.84
1982-03-01,-2.0
1982-04-01,1.44
1982-05-01,5.45
1982-06-01,11.2
1982-07-01,16.29
1982-08-01,12.85
1982-09-01,7.75
1982-10-01,4.65
1982-11-01,-1.25
1982-12-01,-1.3
1983-01-01,-2.09
1983-02-01,-3.04
1983-03-01,-3.3
1983-04-01,3.05
1983-05-01,7.8
1983-06-01,10.5
1983-07-01,13.75
1983-08-01,12.2
1983-09-01,9.64
1983-10-01,1.69
1983-11-01,
1983-12-01,-2.65
1984-01-01,-4.6
1984-02-01,0.19
1984-03-01,-3.1
1984-04-01,2.8
1984-05-01,11.85
1984-06-01,13.75
1984-07-01,14.2
1984-08-01,14.75
1984-09-01,
1984-10-01,
1984-11-01,0.64
1984-12-01,1.84
1985-01-01,-4.79
1985-02-01,-6.9
1985-03-01,-2.09
1985-04-01,-2.55
1985-05-01,6.5
1985-06-01,12.4
1985-07-01,16.2
1985-08-01,12.75
1985-09-01,
1985-10-01,3.5
1985-11-01,-2.0
1985-12-01,-3.54
1986-01-01,-6.2
1986-02-01,-5.1
1986-03-01,-0.75
1986-04-01,0.59
1986-05-01,9.2
1986-06-01,14.6
1986-07-01,15.6
1986-08-01,12.45
1986-09-01,4.89
1986-10-01,5.95
1986-11-01,2.55
1986-12-01,-4.79
1987-01-01,-5.5
1987-02-01,
1987-03-01,
1987-04-01,1.09
1987-05-01,9.09
1987-06-01,11.85
1987-07-01,16.2
1987-08-01,12.35
1987-09-01,9.8
1987-10-01,9.3
1987-11-01,2.15
1987-12-01,-3.35
1988-01-01,-1.5
1988-02-01,-3.94
1988-03-01,
1988-04-01,-1.25
1988-05-01,8.09
1988-06-01,11.8
1988-07-01,18.54
1988-08-01,12.25
1988-09-01,11.5
1988-10-01,2.9
1988-11-01,-2.2
1988-12-01,-2.19
1989-01-01,
1989-02-01,
1989-03-01,1.54
1989-04-01,4.7
1989-05-01,9.05
1989-06-01,12.6
1989-07-01,14.5
1989-08-01,13.8
1989-09-01,9.9
1989-10-01,4.05
1989-11-01,0.29
1989-12-01,-2.5
1990-01-01,-2.3
1990-02-01,1.09
1990-03-01,-1.9
1990-04-01,1.34
1990-05-01,6.95
1990-06-01,14.79
1990-07-01,15.2
1990-08-01,15.15
1990-09-01,10.0
1990-10-01,7.3
1990-11-01,-0.79
1990-12-01,1.3
1991-01-01,-2.6
1991-02-01,-2.8
1991-03-01,0.19
1991-04-01,1.65
1991-05-01,4.85
1991-06-01,11.7
1991-07-01,15.4
1991-08-01,13.6
1991-09-01,8.1
1991-10-01,4.75
1991-11-01,1.65
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,-1.15
1992-04-01,1.04
1992-05-01,10.35
1992-06-01,14.29
1992-07-01,12.6
1992-08-01,10.75
1992-09-01,11.4
1992-10-01,2.25
1992-11-01,-0.79
1992-12-01,1.65
1993-01-01,-0.65
1993-02-01,-1.34
1993-03-01,-0.25
1993-04-01,2.4
1993-05-01,9.5
1993-06-01,10.75
1993-07-01,16.65
1993-08-01,13.45
1993-09-01,6.4
1993-10-01,0.19
1993-11-01,2.8
1993-12-01,-2.34
1994-01-01,-5.14
1994-02-01,-4.25
1994-03-01,0.4
1994-04-01,6.35
1994-05-01,8.14
1994-06-01,11.15
1994-07-01,15.1
1994-08-01,15.7
1994-09-01,9.29
1994-10-01,5.14
1994-11-01,0.4
1994-12-01,0.15
