,Temperature_C
1979-01-01,-31.8
1979-02-01,-34.4
1979-03-01,-27.2
1979-04-01,-22.2
1979-05-01,-7.4
1979-06-01,-1.9
1979-07-01,2.1
1979-08-01,1.6
1979-09-01,-2.4
1979-10-01,-15.1
1979-11-01,-26.5
1979-12-01,-27.7
1980-01-01,-28.5
1980-02-01,-30.8
1980-03-01,-29.0
1980-04-01,-22.4
1980-05-01,-8.2
1980-06-01,1.4
1980-07-01,4.9
1980-08-01,4.6
1980-09-01,2.2
1980-10-01,-10.1
1980-11-01,-25.3
1980-12-01,-27.2
1981-01-01,-26.3
1981-02-01,-27.8
1981-03-01,-25.1
1981-04-01,-15.8
1981-05-01,-6.5
1981-06-01,1.6
1981-07-01,4.1
1981-08-01,6.1
1981-09-01,0.8
1981-10-01,-8.3
1981-11-01,-19.79
1981-12-01,-26.6
1982-01-01,-34.2
1982-02-01,-29.1
1982-03-01,-28.3
1982-04-01,-18.9
1982-05-01,-11.3
1982-06-01,0.0
1982-07-01,5.7
1982-08-01,3.7
1982-09-01,1.4
1982-10-01,-10.9
1982-11-01,-23.2
1982-12-01,-27.8
1983-01-01,-30.8
1983-02-01,-28.0
1983-03-01,-24.9
1983-04-01,-20.5
1983-05-01,-6.2
1983-06-01,0.5
1983-07-01,6.0
1983-08-01,7.0
1983-09-01,1.3
1983-10-01,-11.8
1983-11-01,-22.9
1983-12-01,-27.6
1984-01-01,-27.1
1984-02-01,-34.7
1984-03-01,-28.1
1984-04-01,-21.1
1984-05-01,-9.3
1984-06-01,-0.5
1984-07-01,3.4
1984-08-01,1.2
1984-09-01,-1.8
1984-10-01,-9.5
1984-11-01,-20.0
1984-12-01,-29.6
1985-01-01,-28.8
1985-02-01,-25.9
1985-03-01,-28.4
1985-04-01,-20.7
1985-05-01,-9.5
1985-06-01,1.5
1985-07-01,3.7
1985-08-01,3.0
1985-09-01,0.9
1985-10-01,-11.0
1985-11-01,-20.4
1985-12-01,-24.1
1986-01-01,-32.4
1986-02-01,-29.7
1986-03-01,-27.6
1986-04-01,-17.6
1986-05-01,-8.2
1986-06-01,1.4
1986-07-01,3.1
1986-08-01,2.7
1986-09-01,-1.2
1986-10-01,-9.5
1986-11-01,-22.5
1986-12-01,-29.0
1987-01-01,-28.5
1987-02-01,-33.5
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
