,Temperature_C
1979-01-01,-7.96
1979-02-01,-11.0
1979-03-01,-13.19
1979-04-01,-4.73
1979-05-01,-0.39
1979-06-01,4.77
1979-07-01,7.79
1979-08-01,7.73
1979-09-01,1.84
1979-10-01,-2.83
1979-11-01,-11.0
1979-12-01,-12.31
1980-01-01,-5.36
1980-02-01,-10.18
1980-03-01,-9.16
1980-04-01,-8.43
1980-05-01,1.3
1980-06-01,4.96
1980-07-01,8.2
1980-08-01,7.41
1980-09-01,3.0
1980-10-01,-3.04
1980-11-01,-6.72
1980-12-01,-10.44
1981-01-01,-13.74
1981-02-01,-17.0
1981-03-01,-11.58
1981-04-01,-7.81
1981-05-01,0.2
1981-06-01,6.62
1981-07-01,8.68
1981-08-01,6.42
1981-09-01,3.11
1981-10-01,-3.14
1981-11-01,-9.85
1981-12-01,-9.94
1982-01-01,-10.43
1982-02-01,-19.21
1982-03-01,-15.7
1982-04-01,-9.52
1982-05-01,-1.55
1982-06-01,5.41
1982-07-01,8.76
1982-08-01,6.92
1982-09-01,0.89
1982-10-01,
1982-11-01,-10.12
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,-24.6
1983-04-01,-10.37
1983-05-01,-1.31
1983-06-01,4.27
1983-07-01,6.7
1983-08-01,4.81
1983-09-01,2.12
1983-10-01,-6.26
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,-32.05
1984-03-01,-20.32
1984-04-01,-14.76
1984-05-01,-4.97
1984-06-01,3.14
1984-07-01,8.63
1984-08-01,
1984-09-01,2.1
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,-13.68
1985-04-01,-5.92
1985-05-01,
1985-06-01,6.92
1985-07-01,8.92
1985-08-01,7.23
1985-09-01,3.91
1985-10-01,-5.04
1985-11-01,
1985-12-01,-7.43
1986-01-01,
1986-02-01,-4.66
1986-03-01,-13.93
1986-04-01,-7.56
1986-05-01,-0.23
1986-06-01,3.77
1986-07-01,
1986-08-01,8.06
1986-09-01,
1986-10-01,-6.54
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,-0.59
1987-06-01,6.76
1987-07-01,7.76
1987-08-01,9.82
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,-8.27
1988-05-01,0.51
1988-06-01,4.19
1988-07-01,7.75
1988-08-01,7.44
1988-09-01,3.13
1988-10-01,-1.67
1988-11-01,
1988-12-01,-10.92
1989-01-01,
1989-02-01,-24.17
1989-03-01,-22.06
1989-04-01,-9.51
1989-05-01,-1.76
1989-06-01,4.31
1989-07-01,7.22
1989-08-01,5.8
1989-09-01,0.18
1989-10-01,-5.09
1989-11-01,-4.88
1989-12-01,-10.84
1990-01-01,-16.81
1990-02-01,-21.3
1990-03-01,-18.31
1990-04-01,-11.33
1990-05-01,-0.49
1990-06-01,8.15
1990-07-01,8.66
1990-08-01,6.63
1990-09-01,1.87
1990-10-01,-4.68
1990-11-01,-5.4
1990-12-01,
1991-01-01,
1991-02-01,-12.8
1991-03-01,-13.58
1991-04-01,-12.71
1991-05-01,-2.95
1991-06-01,5.14
1991-07-01,8.95
1991-08-01,5.91
1991-09-01,3.06
1991-10-01,-2.14
1991-11-01,-10.89
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,-20.48
1992-04-01,-10.33
1992-05-01,-3.62
1992-06-01,2.16
1992-07-01,
1992-08-01,5.87
1992-09-01,1.38
1992-10-01,-0.02
1992-11-01,-10.56
1992-12-01,-12.78
