,Temperature_C
1979-01-01,-18.6
1979-02-01,-14.87
1979-03-01,-7.49
1979-04-01,-3.47
1979-05-01,5.85
1979-06-01,12.75
1979-07-01,14.56
1979-08-01,12.39
1979-09-01,5.98
1979-10-01,-3.43
1979-11-01,-6.84
1979-12-01,-11.11
1980-01-01,-17.49
1980-02-01,-17.42
1980-03-01,-11.04
1980-04-01,-0.43
1980-05-01,4.63
1980-06-01,15.13
1980-07-01,13.71
1980-08-01,11.5
1980-09-01,6.74
1980-10-01,-2.17
1980-11-01,-12.58
1980-12-01,-15.62
1981-01-01,-13.79
1981-02-01,-15.63
1981-03-01,-15.07
1981-04-01,-2.8
1981-05-01,6.08
1981-06-01,9.02
1981-07-01,14.18
1981-08-01,10.56
1981-09-01,5.93
1981-10-01,1.1
1981-11-01,-7.88
1981-12-01,-20.71
1982-01-01,-18.87
1982-02-01,-9.03
1982-03-01,-5.69
1982-04-01,-1.23
1982-05-01,4.92
1982-06-01,7.55
1982-07-01,14.14
1982-08-01,10.64
1982-09-01,5.6
1982-10-01,-1.08
1982-11-01,-4.62
1982-12-01,-10.33
1983-01-01,-10.63
1983-02-01,-13.4
1983-03-01,-8.2
1983-04-01,0.6
1983-05-01,6.91
1983-06-01,10.82
1983-07-01,14.17
1983-08-01,10.0
1983-09-01,7.34
1983-10-01,-0.56
1983-11-01,-14.86
1983-12-01,-16.28
1984-01-01,-15.3
1984-02-01,-7.6
1984-03-01,-10.33
1984-04-01,-1.21
1984-05-01,8.69
1984-06-01,11.73
1984-07-01,12.8
1984-08-01,10.25
1984-09-01,5.32
1984-10-01,-0.09
1984-11-01,-9.3
1984-12-01,-7.38
1985-01-01,-22.29
1985-02-01,-24.7
1985-03-01,-6.85
1985-04-01,-4.61
1985-05-01,3.55
1985-06-01,11.59
1985-07-01,14.14
1985-08-01,12.41
1985-09-01,6.48
1985-10-01,1.27
1985-11-01,-8.53
1985-12-01,-20.79
1986-01-01,-19.07
1986-02-01,-14.73
1986-03-01,-4.14
1986-04-01,-3.17
1986-05-01,6.65
1986-06-01,14.41
1986-07-01,13.88
1986-08-01,9.33
1986-09-01,3.39
1986-10-01,1.54
