,Temperature_C
1979-01-01,-9.6
1979-02-01,-8.2
1979-03-01,-7.2
1979-04-01,-2.65
1979-05-01,6.85
1979-06-01,13.15
1979-07-01,14.15
1979-08-01,11.7
1979-09-01,7.7
1979-10-01,-1.19
1979-11-01,-3.5
1979-12-01,-4.1
1980-01-01,-10.95
1980-02-01,-9.7
1980-03-01,-7.45
1980-04-01,1.0
1980-05-01,8.0
1980-06-01,13.55
1980-07-01,15.2
1980-08-01,12.5
1980-09-01,4.89
1980-10-01,-3.75
1980-11-01,-5.0
1980-12-01,-11.9
1981-01-01,-11.7
1981-02-01,-10.9
1981-03-01,-9.2
1981-04-01,-0.84
1981-05-01,5.49
1981-06-01,8.5
1981-07-01,14.1
1981-08-01,9.6
1981-09-01,5.85
1981-10-01,-2.25
1981-11-01,-4.19
1981-12-01,-9.0
1982-01-01,-6.05
1982-02-01,-7.0
1982-03-01,-6.89
1982-04-01,-1.84
1982-05-01,4.5
1982-06-01,10.1
1982-07-01,14.85
1982-08-01,10.2
1982-09-01,3.69
1982-10-01,1.09
1982-11-01,-4.8
1982-12-01,-5.05
1983-01-01,-8.64
1983-02-01,-10.14
1983-03-01,-8.0
1983-04-01,-0.69
1983-05-01,6.45
1983-06-01,10.75
1983-07-01,14.9
1983-08-01,10.0
1983-09-01,6.64
1983-10-01,-0.25
1983-11-01,-9.0
1983-12-01,-8.85
1984-01-01,-11.0
1984-02-01,-3.7
1984-03-01,-4.69
1984-04-01,0.25
1984-05-01,10.95
1984-06-01,13.25
1984-07-01,
1984-08-01,12.95
1984-09-01,4.6
1984-10-01,1.59
1984-11-01,-2.69
1984-12-01,-1.8
1985-01-01,-10.45
1985-02-01,-12.35
1985-03-01,-6.25
1985-04-01,-7.45
1985-05-01,1.19
1985-06-01,11.1
1985-07-01,14.1
1985-08-01,10.6
1985-09-01,4.6
1985-10-01,-0.8
1985-11-01,-3.59
1985-12-01,-10.7
1986-01-01,-13.2
1986-02-01,-8.14
1986-03-01,-6.6
1986-04-01,-4.1
1986-05-01,7.75
1986-06-01,12.25
1986-07-01,14.0
1986-08-01,11.1
1986-09-01,3.75
1986-10-01,2.6
1986-11-01,-2.7
1986-12-01,-8.85
1987-01-01,-9.29
1987-02-01,-11.35
1987-03-01,-9.3
1987-04-01,-0.8
1987-05-01,8.25
1987-06-01,9.45
1987-07-01,14.45
1987-08-01,11.0
1987-09-01,6.4
1987-10-01,6.2
1987-11-01,-3.75
1987-12-01,-7.99
1988-01-01,-5.95
1988-02-01,-8.75
1988-03-01,-8.3
1988-04-01,-5.7
1988-05-01,6.6
1988-06-01,12.5
1988-07-01,16.4
1988-08-01,10.05
1988-09-01,9.0
1988-10-01,0.39
1988-11-01,-7.3
1988-12-01,-7.2
1989-01-01,-6.45
1989-02-01,-8.09
1989-03-01,-3.25
1989-04-01,-1.89
1989-05-01,8.5
1989-06-01,12.05
1989-07-01,13.55
1989-08-01,12.65
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
