,Temperature_C
1979-01-01,-38.82
1979-02-01,-41.51
1979-03-01,-31.46
1979-04-01,-23.09
1979-05-01,-11.32
1979-06-01,-0.34
1979-07-01,4.22
1979-08-01,2.69
1979-09-01,-1.4
1979-10-01,-12.83
1979-11-01,-28.25
1979-12-01,-29.84
1980-01-01,-33.76
1980-02-01,-31.21
1980-03-01,-29.6
1980-04-01,-21.5
1980-05-01,-8.31
1980-06-01,1.1
1980-07-01,5.15
1980-08-01,7.12
1980-09-01,0.93
1980-10-01,-10.38
1980-11-01,-26.17
1980-12-01,-31.02
1981-01-01,-24.95
1981-02-01,-30.95
1981-03-01,-27.06
1981-04-01,-19.84
1981-05-01,-10.29
1981-06-01,0.31
1981-07-01,4.28
1981-08-01,4.4
1981-09-01,-1.0
1981-10-01,-10.05
1981-11-01,-19.59
1981-12-01,-30.45
1982-01-01,-39.71
1982-02-01,-30.14
1982-03-01,-31.78
1982-04-01,-19.47
1982-05-01,-11.55
1982-06-01,-0.92
1982-07-01,3.44
1982-08-01,5.51
1982-09-01,1.26
1982-10-01,-12.05
1982-11-01,-26.1
1982-12-01,-30.83
1983-01-01,-29.28
1983-02-01,-29.88
1983-03-01,-25.65
1983-04-01,-23.16
1983-05-01,-7.73
1983-06-01,1.68
1983-07-01,4.07
1983-08-01,7.33
1983-09-01,1.43
1983-10-01,-9.49
1983-11-01,-21.17
1983-12-01,-30.76
1984-01-01,-26.87
1984-02-01,-32.66
1984-03-01,-28.09
1984-04-01,-22.21
1984-05-01,-10.19
1984-06-01,-0.59
1984-07-01,4.74
1984-08-01,3.17
1984-09-01,-0.24
1984-10-01,-11.39
1984-11-01,-24.64
1984-12-01,-28.5
1985-01-01,-35.19
1985-02-01,-28.34
1985-03-01,-30.41
1985-04-01,-22.48
1985-05-01,-9.86
1985-06-01,1.08
1985-07-01,1.49
1985-08-01,3.13
1985-09-01,0.91
1985-10-01,-11.15
1985-11-01,-20.62
1985-12-01,-26.93
1986-01-01,-36.19
1986-02-01,-31.03
1986-03-01,-30.32
1986-04-01,-22.51
1986-05-01,-9.03
1986-06-01,-0.37
1986-07-01,2.15
1986-08-01,3.18
1986-09-01,-0.93
1986-10-01,-8.66
1986-11-01,-26.87
1986-12-01,-31.62
1987-01-01,-35.68
1987-02-01,-34.66
1987-03-01,-30.2
1987-04-01,-19.93
1987-05-01,-9.47
1987-06-01,-0.47
1987-07-01,4.96
1987-08-01,4.15
1987-09-01,-0.74
1987-10-01,-12.62
1987-11-01,-26.42
1987-12-01,-31.83
1988-01-01,-32.77
1988-02-01,-29.24
1988-03-01,-28.96
1988-04-01,-21.69
1988-05-01,-8.73
1988-06-01,1.22
1988-07-01,6.55
1988-08-01,3.15
1988-09-01,-0.01
1988-10-01,-12.15
1988-11-01,-24.31
1988-12-01,-25.34
1989-01-01,-32.19
1989-02-01,-28.23
1989-03-01,-25.97
1989-04-01,-23.41
1989-05-01,-8.87
1989-06-01,-1.68
1989-07-01,2.62
1989-08-01,3.13
1989-09-01,-0.9
1989-10-01,-14.28
1989-11-01,-29.44
1989-12-01,-28.67
1990-01-01,-30.67
1990-02-01,-32.15
1990-03-01,-22.5
1990-04-01,-17.46
1990-05-01,-5.05
1990-06-01,1.84
1990-07-01,3.59
1990-08-01,7.16
1990-09-01,1.25
1990-10-01,-11.57
1990-11-01,-29.36
1990-12-01,-33.6
1991-01-01,-32.15
1991-02-01,-34.5
1991-03-01,-25.83
1991-04-01,-19.79
1991-05-01,-8.85
1991-06-01,-0.74
1991-07-01,7.87
1991-08-01,7.05
1991-09-01,3.22
1991-10-01,-13.79
1991-11-01,-25.66
1991-12-01,-26.19
1992-01-01,-33.76
1992-02-01,-33.25
1992-03-01,-28.55
1992-04-01,-19.6
1992-05-01,-8.56
1992-06-01,-0.5
1992-07-01,5.04
1992-08-01,3.39
1992-09-01,-2.08
1992-10-01,-17.5
1992-11-01,-27.7
1992-12-01,-31.86
1993-01-01,-30.9
1993-02-01,-31.95
1993-03-01,-27.47
1993-04-01,-20.38
1993-05-01,-6.79
1993-06-01,1.22
1993-07-01,4.41
1993-08-01,3.91
1993-09-01,0.71
1993-10-01,-13.68
1993-11-01,-25.66
1993-12-01,-34.45
1994-01-01,-34.66
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,-0.19
1994-07-01,4.34
1994-08-01,3.09
1994-09-01,0.97
1994-10-01,-9.42
1994-11-01,-26.54
1994-12-01,-26.65
1995-01-01,-34.79
1995-02-01,-29.01
1995-03-01,-30.08
1995-04-01,-19.64
1995-05-01,-9.43
1995-06-01,3.32
1995-07-01,5.33
1995-08-01,9.18
1995-09-01,1.22
1995-10-01,-9.51
1995-11-01,-26.01
1995-12-01,-30.66
1996-01-01,-34.69
1996-02-01,-29.48
1996-03-01,-29.52
1996-04-01,-19.62
1996-05-01,-9.74
1996-06-01,-2.51
1996-07-01,3.5
1996-08-01,3.63
1996-09-01,-3.26
1996-10-01,-12.14
1996-11-01,-23.73
1996-12-01,-32.21
1997-01-01,-34.06
1997-02-01,-34.14
1997-03-01,-27.03
1997-04-01,-15.17
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
