,Temperature_C
1979-01-01,-34.09
1979-02-01,-36.4
1979-03-01,-31.1
1979-04-01,-26.0
1979-05-01,-9.6
1979-06-01,-3.2
1979-07-01,1.7
1979-08-01,1.2
1979-09-01,-3.9
1979-10-01,-17.7
1979-11-01,-30.0
1979-12-01,-31.1
1980-01-01,-31.6
1980-02-01,-33.59
1980-03-01,-32.7
1980-04-01,-26.0
1980-05-01,-9.89
1980-06-01,-0.6
1980-07-01,3.0
1980-08-01,1.0
1980-09-01,-1.5
1980-10-01,-11.9
1980-11-01,-28.5
1980-12-01,-26.9
1981-01-01,-26.6
1981-02-01,-28.6
1981-03-01,-26.8
1981-04-01,-19.29
1981-05-01,-9.3
1981-06-01,-0.6
1981-07-01,2.1
1981-08-01,1.6
1981-09-01,-0.5
1981-10-01,-8.8
1981-11-01,-19.29
1981-12-01,-26.8
1982-01-01,-33.2
1982-02-01,-30.2
1982-03-01,-31.6
1982-04-01,-23.0
1982-05-01,-12.8
1982-06-01,-1.5
1982-07-01,2.7
1982-08-01,1.8
1982-09-01,-0.2
1982-10-01,-10.5
1982-11-01,-25.0
1982-12-01,-30.3
1983-01-01,-31.0
1983-02-01,-31.5
1983-03-01,-30.1
1983-04-01,-24.2
1983-05-01,-9.0
1983-06-01,-1.6
1983-07-01,1.9
1983-08-01,2.0
1983-09-01,-1.7
1983-10-01,-12.5
1983-11-01,-26.8
1983-12-01,-28.8
1984-01-01,-27.5
1984-02-01,-35.5
1984-03-01,-30.8
1984-04-01,-25.8
1984-05-01,-11.8
1984-06-01,-1.3
1984-07-01,2.6
1984-08-01,0.8
1984-09-01,-2.7
1984-10-01,-11.2
1984-11-01,-21.6
1984-12-01,-29.8
1985-01-01,-30.0
1985-02-01,-28.8
1985-03-01,-31.6
1985-04-01,-23.9
1985-05-01,-10.7
1985-06-01,-0.9
1985-07-01,2.4
1985-08-01,0.4
1985-09-01,-1.7
1985-10-01,-13.5
1985-11-01,-22.3
1985-12-01,-27.7
1986-01-01,-34.09
1986-02-01,-31.1
1986-03-01,-30.1
1986-04-01,
1986-05-01,-8.6
1986-06-01,-0.5
1986-07-01,1.7
1986-08-01,0.5
1986-09-01,-3.0
1986-10-01,-11.9
1986-11-01,-22.6
1986-12-01,-31.7
1987-01-01,-29.6
1987-02-01,-36.09
1987-03-01,-31.2
1987-04-01,-20.9
1987-05-01,-11.0
1987-06-01,
1987-07-01,2.4
1987-08-01,1.8
1987-09-01,-4.19
1987-10-01,
1987-11-01,
1987-12-01,
