,Temperature_C
1979-01-01,-21.11
1979-02-01,-30.92
1979-03-01,-31.29
1979-04-01,-17.63
1979-05-01,-3.53
1979-06-01,4.71
1979-07-01,14.11
1979-08-01,12.1
1979-09-01,3.9
1979-10-01,
1979-11-01,
1979-12-01,-25.13
1980-01-01,-27.78
1980-02-01,-22.84
1980-03-01,-27.1
1980-04-01,-18.61
1980-05-01,-6.73
1980-06-01,7.16
1980-07-01,7.8
1980-08-01,8.9
1980-09-01,-0.63
1980-10-01,-4.39
1980-11-01,-17.8
1980-12-01,-27.5
1981-01-01,-15.12
1981-02-01,-25.96
1981-03-01,-22.65
1981-04-01,-14.25
1981-05-01,-1.49
1981-06-01,5.08
1981-07-01,10.58
1981-08-01,8.52
1981-09-01,2.26
1981-10-01,-5.63
1981-11-01,-18.63
1981-12-01,-20.73
1982-01-01,-32.85
1982-02-01,-24.47
1982-03-01,-26.6
1982-04-01,-16.22
1982-05-01,-6.71
1982-06-01,5.4
1982-07-01,12.5
1982-08-01,8.64
1982-09-01,4.76
1982-10-01,-9.83
1982-11-01,-26.06
1982-12-01,-28.75
1983-01-01,-30.31
1983-02-01,-30.6
1983-03-01,-28.05
1983-04-01,-17.78
1983-05-01,-8.97
1983-06-01,7.16
1983-07-01,12.14
1983-08-01,10.1
1983-09-01,0.57
1983-10-01,-12.34
1983-11-01,-15.13
1983-12-01,-22.56
1984-01-01,-28.05
1984-02-01,
1984-03-01,-27.28
1984-04-01,-14.46
1984-05-01,-3.12
1984-06-01,7.95
1984-07-01,9.82
1984-08-01,7.46
1984-09-01,2.9
1984-10-01,-8.57
1984-11-01,-23.47
1984-12-01,-29.09
1985-01-01,-25.34
1985-02-01,
1985-03-01,-22.71
1985-04-01,-20.89
1985-05-01,-1.94
1985-06-01,5.94
1985-07-01,5.97
1985-08-01,7.18
1985-09-01,2.67
1985-10-01,-9.8
1985-11-01,-19.96
1985-12-01,-22.67
1986-01-01,-31.38
1986-02-01,-23.98
1986-03-01,-28.67
1986-04-01,-20.55
1986-05-01,-6.77
1986-06-01,4.5
1986-07-01,8.68
1986-08-01,8.32
1986-09-01,5.03
1986-10-01,-7.83
1986-11-01,-24.73
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,-24.84
1987-04-01,
1987-05-01,-7.94
1987-06-01,6.32
1987-07-01,11.27
1987-08-01,8.83
1987-09-01,3.97
1987-10-01,-3.17
1987-11-01,-19.95
1987-12-01,-19.82
1988-01-01,-26.64
1988-02-01,-25.92
1988-03-01,-21.41
1988-04-01,-12.84
1988-05-01,-4.3
1988-06-01,7.9
1988-07-01,13.81
1988-08-01,8.88
1988-09-01,3.13
1988-10-01,-9.18
1988-11-01,-27.55
1988-12-01,-21.22
1989-01-01,-31.54
1989-02-01,-14.68
1989-03-01,-26.07
1989-04-01,-13.61
1989-05-01,-5.43
1989-06-01,7.01
1989-07-01,13.88
1989-08-01,14.29
1989-09-01,4.11
1989-10-01,-7.08
1989-11-01,-26.83
1989-12-01,-26.27
1990-01-01,
1990-02-01,
1990-03-01,-19.57
1990-04-01,-12.35
1990-05-01,-4.23
1990-06-01,6.74
1990-07-01,13.11
1990-08-01,7.48
1990-09-01,2.15
1990-10-01,-6.53
1990-11-01,-24.75
1990-12-01,-27.11
1991-01-01,-25.64
1991-02-01,-28.84
1991-03-01,-26.9
1991-04-01,-13.13
1991-05-01,1.31
1991-06-01,4.99
1991-07-01,9.35
1991-08-01,6.69
1991-09-01,2.13
1991-10-01,-6.81
1991-11-01,-21.78
1991-12-01,-27.28
1992-01-01,-27.62
1992-02-01,-29.08
1992-03-01,-19.32
1992-04-01,-18.26
1992-05-01,-6.17
1992-06-01,6.23
1992-07-01,10.28
1992-08-01,9.98
1992-09-01,-0.39
1992-10-01,-11.74
1992-11-01,-18.24
1992-12-01,-24.27
1993-01-01,-24.45
1993-02-01,-22.1
1993-03-01,-20.76
1993-04-01,-14.18
1993-05-01,-3.09
1993-06-01,7.16
1993-07-01,13.1
1993-08-01,9.84
1993-09-01,4.06
1993-10-01,-4.07
1993-11-01,
1993-12-01,-23.86
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,3.51
1999-10-01,-9.34
1999-11-01,
1999-12-01,-25.38
2000-01-01,-24.97
2000-02-01,-26.18
2000-03-01,-26.61
2000-04-01,-17.18
2000-05-01,-8.71
2000-06-01,6.57
2000-07-01,10.85
2000-08-01,6.62
2000-09-01,2.26
2000-10-01,-8.75
2000-11-01,-18.28
2000-12-01,-26.81
2001-01-01,-22.87
2001-02-01,-23.71
2001-03-01,-27.62
2001-04-01,-15.02
2001-05-01,-7.01
2001-06-01,5.13
2001-07-01,10.39
2001-08-01,9.76
2001-09-01,5.2
2001-10-01,-6.79
2001-11-01,-17.55
2001-12-01,-21.6
2002-01-01,-25.87
2002-02-01,-30.22
2002-03-01,-22.72
2002-04-01,-16.4
2002-05-01,-2.66
2002-06-01,5.68
2002-07-01,10.02
2002-08-01,6.95
2002-09-01,5.19
2002-10-01,-5.6
2002-11-01,-15.1
2002-12-01,-16.05
2003-01-01,-28.52
2003-02-01,-28.47
2003-03-01,-25.76
2003-04-01,-12.75
2003-05-01,-3.43
2003-06-01,5.13
2003-07-01,11.36
2003-08-01,7.5
2003-09-01,2.76
2003-10-01,-2.81
2003-11-01,-18.22
2003-12-01,-25.31
2004-01-01,-29.19
2004-02-01,-31.65
2004-03-01,-30.16
2004-04-01,-17.79
2004-05-01,-7.33
2004-06-01,8.18
2004-07-01,11.8
2004-08-01,9.56
2004-09-01,1.95
2004-10-01,-7.91
2004-11-01,-21.45
2004-12-01,-29.5
2005-01-01,-22.38
2005-02-01,-25.81
2005-03-01,-23.69
2005-04-01,-15.55
2005-05-01,-2.91
2005-06-01,5.16
2005-07-01,7.44
2005-08-01,8.55
2005-09-01,2.56
2005-10-01,-5.86
2005-11-01,-20.61
2005-12-01,-19.57
2006-01-01,-27.58
2006-02-01,-18.91
2006-03-01,-26.87
2006-04-01,-18.23
2006-05-01,-0.85
2006-06-01,8.05
2006-07-01,11.67
2006-08-01,10.98
2006-09-01,7.35
2006-10-01,-4.3
2006-11-01,-18.83
2006-12-01,-18.28
2007-01-01,-24.58
2007-02-01,-30.6
2007-03-01,-29.22
2007-04-01,-12.43
2007-05-01,-5.5
2007-06-01,6.79
2007-07-01,12.67
2007-08-01,9.08
2007-09-01,3.35
2007-10-01,
2007-11-01,-16.13
2007-12-01,
2008-01-01,-25.49
2008-02-01,-26.19
2008-03-01,-28.24
2008-04-01,-13.22
2008-05-01,-1.34
2008-06-01,9.19
2008-07-01,12.55
2008-08-01,6.7
2008-09-01,2.02
2008-10-01,-8.71
2008-11-01,-15.45
2008-12-01,-23.17
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,-26.68
2010-02-01,-24.18
2010-03-01,-22.24
2010-04-01,
2010-05-01,-3.41
2010-06-01,6.41
2010-07-01,12.63
2010-08-01,11.58
2010-09-01,3.95
2010-10-01,-5.26
2010-11-01,-13.58
2010-12-01,-26.02
