,Temperature_C
1979-01-01,-7.45
1979-02-01,-5.35
1979-03-01,
1979-04-01,0.25
1979-05-01,7.65
1979-06-01,14.55
1979-07-01,
1979-08-01,13.45
1979-09-01,8.5
1979-10-01,1.55
1979-11-01,-1.7
1979-12-01,-2.3
1980-01-01,-4.75
1980-02-01,-6.14
1980-03-01,-3.0
1980-04-01,2.6
1980-05-01,10.3
1980-06-01,11.45
1980-07-01,
1980-08-01,
1980-09-01,7.6
1980-10-01,1.4
1980-11-01,-2.0
1980-12-01,-4.1
1981-01-01,-5.85
1981-02-01,-4.69
1981-03-01,-5.89
1981-04-01,-0.85
1981-05-01,4.75
1981-06-01,7.55
1981-07-01,15.2
1981-08-01,10.3
1981-09-01,7.25
1981-10-01,1.3
1981-11-01,-1.0
1981-12-01,-5.25
1982-01-01,-3.35
1982-02-01,-3.8
1982-03-01,-1.95
1982-04-01,1.09
1982-05-01,5.5
1982-06-01,10.5
1982-07-01,14.4
1982-08-01,13.1
1982-09-01,5.4
1982-10-01,3.05
1982-11-01,-0.64
1982-12-01,-1.5
1983-01-01,-2.65
1983-02-01,-5.0
1983-03-01,-1.75
1983-04-01,2.15
1983-05-01,7.3
1983-06-01,11.1
1983-07-01,13.65
1983-08-01,11.6
1983-09-01,9.3
1983-10-01,3.1
1983-11-01,-4.25
1983-12-01,-4.39
1984-01-01,-4.8
1984-02-01,-2.75
1984-03-01,-2.65
1984-04-01,1.84
1984-05-01,11.05
1984-06-01,13.15
1984-07-01,13.4
1984-08-01,14.8
1984-09-01,7.4
1984-10-01,6.1
1984-11-01,-1.75
1984-12-01,1.59
1985-01-01,-4.35
1985-02-01,-7.9
1985-03-01,-3.05
1985-04-01,-1.29
1985-05-01,4.89
1985-06-01,11.45
1985-07-01,
1985-08-01,
1985-09-01,8.2
1985-10-01,2.85
1985-11-01,-2.09
1985-12-01,-4.4
1986-01-01,-8.95
1986-02-01,-5.45
1986-03-01,-2.8
1986-04-01,-0.15
1986-05-01,8.3
1986-06-01,12.95
1986-07-01,
1986-08-01,
1986-09-01,6.1
1986-10-01,4.5
1986-11-01,1.39
1986-12-01,-5.65
1987-01-01,-5.65
1987-02-01,-5.65
1987-03-01,-4.15
1987-04-01,1.15
1987-05-01,8.59
1987-06-01,10.54
1987-07-01,14.45
1987-08-01,13.65
1987-09-01,8.75
1987-10-01,7.95
1987-11-01,-1.0
1987-12-01,-3.6
1988-01-01,-3.55
1988-02-01,-4.94
1988-03-01,-3.45
1988-04-01,-2.25
1988-05-01,6.3
1988-06-01,12.35
1988-07-01,15.5
1988-08-01,13.0
1988-09-01,10.95
1988-10-01,3.35
1988-11-01,-2.9
1988-12-01,-4.55
1989-01-01,-1.85
1989-02-01,-3.19
1989-03-01,-0.29
1989-04-01,2.9
1989-05-01,8.25
1989-06-01,12.9
1989-07-01,14.1
1989-08-01,14.55
1989-09-01,9.05
1989-10-01,2.75
1989-11-01,0.05
1989-12-01,-4.1
1990-01-01,-2.85
1990-02-01,-0.19
1990-03-01,-2.6
1990-04-01,0.94
1990-05-01,6.0
1990-06-01,12.85
1990-07-01,15.65
1990-08-01,15.4
1990-09-01,10.5
1990-10-01,6.05
1990-11-01,-2.19
1990-12-01,0.15
1991-01-01,-2.54
1991-02-01,-4.95
1991-03-01,-1.4
1991-04-01,0.9
1991-05-01,4.95
1991-06-01,11.75
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
