,Temperature_C
1979-01-01,-0.79
1979-02-01,0.59
1979-03-01,-0.2
1979-04-01,1.4
1979-05-01,5.25
1979-06-01,9.89
1979-07-01,12.9
1979-08-01,12.05
1979-09-01,8.25
1979-10-01,5.0
1979-11-01,3.3
1979-12-01,
1980-01-01,-0.15
1980-02-01,1.0
1980-03-01,0.84
1980-04-01,3.0
1980-05-01,
1980-06-01,11.25
1980-07-01,13.7
1980-08-01,12.9
1980-09-01,9.55
1980-10-01,5.85
1980-11-01,2.3
1980-12-01,1.34
1981-01-01,0.1
1981-02-01,1.24
1981-03-01,0.55
1981-04-01,2.0
1981-05-01,6.25
1981-06-01,6.65
1981-07-01,9.89
1981-08-01,11.6
1981-09-01,10.0
1981-10-01,6.05
1981-11-01,4.04
1981-12-01,0.79
1982-01-01,-1.29
1982-02-01,2.15
1982-03-01,0.9
1982-04-01,2.5
1982-05-01,
1982-06-01,9.59
1982-07-01,12.35
1982-08-01,11.9
1982-09-01,8.0
1982-10-01,7.2
1982-11-01,4.8
1982-12-01,3.44
1983-01-01,1.4
1983-02-01,0.04
1983-03-01,0.29
1983-04-01,4.25
1983-05-01,6.5
1983-06-01,7.5
1983-07-01,11.25
1983-08-01,10.2
1983-09-01,8.35
1983-10-01,4.8
1983-11-01,2.34
1983-12-01,1.09
1984-01-01,1.55
1984-02-01,3.0
1984-03-01,0.54
1984-04-01,4.2
1984-05-01,7.75
1984-06-01,10.3
1984-07-01,10.25
1984-08-01,11.9
1984-09-01,8.14
1984-10-01,7.3
1984-11-01,4.25
1984-12-01,3.75
1985-01-01,-0.35
1985-02-01,-0.45
1985-03-01,1.0
1985-04-01,2.0
1985-05-01,6.3
1985-06-01,8.85
1985-07-01,12.45
1985-08-01,13.6
1985-09-01,7.85
1985-10-01,5.5
1985-11-01,0.95
1985-12-01,0.25
1986-01-01,-2.2
1986-02-01,0.0
1986-03-01,-0.69
1986-04-01,1.09
1986-05-01,8.0
1986-06-01,10.75
1986-07-01,11.8
1986-08-01,11.75
1986-09-01,7.15
1986-10-01,4.8
1986-11-01,3.9
1986-12-01,1.25
1987-01-01,-1.65
1987-02-01,-2.14
1987-03-01,0.15
1987-04-01,3.05
1987-05-01,6.7
1987-06-01,9.75
1987-07-01,12.85
1987-08-01,11.65
1987-09-01,8.05
1987-10-01,9.25
1987-11-01,3.9
1987-12-01,0.7
1988-01-01,1.25
1988-02-01,0.25
1988-03-01,0.5
1988-04-01,1.2
1988-05-01,6.2
1988-06-01,9.5
1988-07-01,13.55
1988-08-01,12.4
1988-09-01,10.0
1988-10-01,4.85
1988-11-01,2.34
1988-12-01,1.94
1989-01-01,3.65
1989-02-01,1.75
1989-03-01,3.8
1989-04-01,5.39
1989-05-01,6.6
1989-06-01,9.7
1989-07-01,11.15
1989-08-01,12.95
1989-09-01,8.39
1989-10-01,6.15
1989-11-01,3.65
1989-12-01,1.95
1990-01-01,2.6
1990-02-01,3.45
1990-03-01,2.14
1990-04-01,3.65
1990-05-01,6.2
1990-06-01,11.45
1990-07-01,13.05
1990-08-01,13.25
1990-09-01,11.05
1990-10-01,6.9
1990-11-01,3.65
1990-12-01,2.34
1991-01-01,2.55
1991-02-01,1.55
1991-03-01,1.8
1991-04-01,2.65
1991-05-01,4.05
1991-06-01,9.1
1991-07-01,12.15
1991-08-01,12.95
1991-09-01,8.35
1991-10-01,5.6
1991-11-01,4.35
1991-12-01,2.0
1992-01-01,2.09
1992-02-01,2.05
1992-03-01,2.3
1992-04-01,2.3
1992-05-01,7.59
1992-06-01,10.85
1992-07-01,11.45
1992-08-01,11.55
1992-09-01,10.75
1992-10-01,3.5
1992-11-01,2.25
1992-12-01,2.55
1993-01-01,2.4
1993-02-01,1.25
1993-03-01,1.75
1993-04-01,3.7
1993-05-01,6.5
1993-06-01,8.25
1993-07-01,13.4
1993-08-01,12.45
1993-09-01,9.2
1993-10-01,4.6
1993-11-01,5.2
1993-12-01,2.25
1994-01-01,0.04
1994-02-01,-0.75
1994-03-01,1.65
1994-04-01,5.05
1994-05-01,5.75
1994-06-01,8.64
1994-07-01,11.6
1994-08-01,13.1
1994-09-01,8.3
1994-10-01,5.0
1994-11-01,4.3
1994-12-01,3.35
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,2.45
1995-05-01,6.35
1995-06-01,9.45
1995-07-01,10.85
1995-08-01,10.7
1995-09-01,10.0
1995-10-01,5.45
1995-11-01,2.85
1995-12-01,
1996-01-01,
1996-02-01,-0.4
1996-03-01,0.45
1996-04-01,2.0
1996-05-01,5.15
1996-06-01,10.6
1996-07-01,11.6
1996-08-01,13.5
1996-09-01,9.05
1996-10-01,6.25
1996-11-01,3.19
1996-12-01,0.84
1997-01-01,-0.5
1997-02-01,
1997-03-01,1.6
1997-04-01,0.79
1997-05-01,5.6
1997-06-01,10.45
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,4.05
1998-05-01,4.9
1998-06-01,11.05
1998-07-01,13.75
1998-08-01,13.65
1998-09-01,9.05
1998-10-01,6.3
1998-11-01,3.8
1998-12-01,2.99
1999-01-01,-0.5
1999-02-01,0.95
1999-03-01,1.6
1999-04-01,3.9
1999-05-01,7.5
1999-06-01,11.65
1999-07-01,13.0
1999-08-01,10.4
1999-09-01,11.7
1999-10-01,7.2
1999-11-01,5.25
1999-12-01,1.45
2000-01-01,0.19
2000-02-01,1.5
2000-03-01,1.44
2000-04-01,1.44
2000-05-01,6.1
2000-06-01,7.75
2000-07-01,10.95
2000-08-01,11.9
2000-09-01,9.3
2000-10-01,7.1
2000-11-01,5.5
2000-12-01,2.5
2001-01-01,2.8
2001-02-01,-1.25
2001-03-01,-1.25
2001-04-01,3.1
2001-05-01,6.5
2001-06-01,11.75
2001-07-01,13.2
2001-08-01,11.55
2001-09-01,9.1
2001-10-01,6.4
2001-11-01,2.7
2001-12-01,1.14
2002-01-01,2.0
2002-02-01,0.79
2002-03-01,1.19
2002-04-01,5.15
2002-05-01,10.65
2002-06-01,13.9
2002-07-01,15.35
2002-08-01,13.4
2002-09-01,9.55
2002-10-01,5.1
2002-11-01,3.35
2002-12-01,0.6
2003-01-01,-1.55
2003-02-01,2.04
2003-03-01,2.9
2003-04-01,2.65
2003-05-01,7.2
2003-06-01,12.45
2003-07-01,14.65
2003-08-01,14.4
2003-09-01,9.6
2003-10-01,6.25
2003-11-01,6.2
2003-12-01,1.94
2004-01-01,1.1
2004-02-01,1.94
2004-03-01,3.44
2004-04-01,5.14
2004-05-01,9.45
2004-06-01,9.45
2004-07-01,14.2
2004-08-01,14.15
2004-09-01,10.0
2004-10-01,7.25
2004-11-01,4.69
2004-12-01,2.45
2005-01-01,3.4
2005-02-01,1.95
2005-03-01,1.34
2005-04-01,4.6
2005-05-01,4.3
2005-06-01,10.95
2005-07-01,14.4
2005-08-01,13.29
2005-09-01,8.7
2005-10-01,6.85
2005-11-01,5.1
2005-12-01,3.8
2006-01-01,1.8
2006-02-01,1.25
2006-03-01,0.69
2006-04-01,3.55
2006-05-01,8.15
2006-06-01,11.55
2006-07-01,13.0
2006-08-01,13.5
2006-09-01,10.4
2006-10-01,5.35
2006-11-01,3.9
2006-12-01,4.0
2007-01-01,-0.45
2007-02-01,-0.09
2007-03-01,3.45
2007-04-01,2.55
2007-05-01,6.5
2007-06-01,11.15
2007-07-01,14.8
2007-08-01,12.35
2007-09-01,8.64
2007-10-01,7.25
2007-11-01,3.5
2007-12-01,5.2
2008-01-01,2.5
2008-02-01,1.99
2008-03-01,1.04
2008-04-01,6.45
2008-05-01,6.9
2008-06-01,9.45
2008-07-01,13.5
2008-08-01,11.54
2008-09-01,9.09
2008-10-01,6.75
2008-11-01,3.4
2008-12-01,3.6
