,Temperature_C
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,-1.98
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,-8.47
1992-03-01,-7.85
1992-04-01,-9.1
1992-05-01,-0.59
1992-06-01,6.47
1992-07-01,5.07
1992-08-01,4.26
1992-09-01,2.5
1992-10-01,-8.68
1992-11-01,-10.5
1992-12-01,-7.49
1993-01-01,-9.66
1993-02-01,-9.69
1993-03-01,-9.58
1993-04-01,-7.41
1993-05-01,-2.02
1993-06-01,0.67
1993-07-01,
1993-08-01,
1993-09-01,-0.51
1993-10-01,
1993-11-01,
1993-12-01,-11.17
1994-01-01,-13.55
1994-02-01,-10.63
1994-03-01,-9.98
1994-04-01,-4.99
1994-05-01,-2.86
1994-06-01,3.2
1994-07-01,8.29
1994-08-01,7.31
1994-09-01,1.1
1994-10-01,-5.12
1994-11-01,-7.66
1994-12-01,-7.53
1995-01-01,-10.44
1995-02-01,-10.84
1995-03-01,-8.94
1995-04-01,-7.35
1995-05-01,-2.73
1995-06-01,4.85
1995-07-01,6.0
1995-08-01,5.42
1995-09-01,1.85
1995-10-01,-4.82
1995-11-01,-9.31
1995-12-01,-11.37
1996-01-01,
1996-02-01,-13.4
1996-03-01,-8.13
1996-04-01,-8.32
1996-05-01,
1996-06-01,3.87
1996-07-01,7.43
1996-08-01,9.69
1996-09-01,0.79
1996-10-01,-3.12
1996-11-01,-8.46
1996-12-01,-10.96
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,-2.4
1997-06-01,5.7
1997-07-01,10.46
1997-08-01,8.8
1997-09-01,3.03
1997-10-01,-5.19
1997-11-01,-7.41
1997-12-01,
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,3.53
1998-07-01,9.73
1998-08-01,5.82
1998-09-01,1.3
1998-10-01,-4.49
1998-11-01,-10.02
1998-12-01,-9.71
1999-01-01,-12.23
1999-02-01,-12.02
1999-03-01,
1999-04-01,-5.6
1999-05-01,-2.58
1999-06-01,6.04
1999-07-01,
1999-08-01,
1999-09-01,4.47
1999-10-01,-2.11
1999-11-01,
1999-12-01,-11.64
2000-01-01,-10.2
2000-02-01,-11.01
2000-03-01,-10.62
2000-04-01,-7.49
2000-05-01,-1.39
2000-06-01,2.82
2000-07-01,9.13
2000-08-01,6.35
2000-09-01,3.1
2000-10-01,-0.55
2000-11-01,-6.26
2000-12-01,-9.91
2001-01-01,-8.61
2001-02-01,-14.13
2001-03-01,-12.66
2001-04-01,-7.21
2001-05-01,-2.52
2001-06-01,6.42
2001-07-01,7.03
2001-08-01,6.77
2001-09-01,3.74
2001-10-01,-3.56
2001-11-01,-9.0
2001-12-01,-10.7
2002-01-01,-10.49
2002-02-01,-11.27
2002-03-01,-9.08
2002-04-01,-3.61
2002-05-01,0.91
2002-06-01,7.53
2002-07-01,8.81
2002-08-01,9.25
2002-09-01,1.0
2002-10-01,-6.28
2002-11-01,-8.83
2002-12-01,-10.86
2003-01-01,-14.65
2003-02-01,-7.57
2003-03-01,
2003-04-01,-5.76
2003-05-01,0.33
2003-06-01,4.38
2003-07-01,12.11
2003-08-01,7.41
2003-09-01,1.95
2003-10-01,-4.0
2003-11-01,-4.32
2003-12-01,-10.68
2004-01-01,-10.88
2004-02-01,-10.99
2004-03-01,-8.01
2004-04-01,-3.47
2004-05-01,-0.14
2004-06-01,3.1
2004-07-01,10.51
2004-08-01,7.03
2004-09-01,1.78
2004-10-01,-3.71
2004-11-01,-7.99
2004-12-01,-8.66
2005-01-01,-10.24
2005-02-01,-9.1
2005-03-01,-9.19
2005-04-01,-4.73
2005-05-01,-2.73
2005-06-01,5.86
2005-07-01,10.68
2005-08-01,7.22
2005-09-01,1.54
2005-10-01,-1.08
2005-11-01,-5.9
2005-12-01,-9.96
2006-01-01,-10.01
2006-02-01,-10.83
2006-03-01,-11.04
2006-04-01,-4.89
2006-05-01,0.68
2006-06-01,5.53
2006-07-01,8.53
2006-08-01,10.71
2006-09-01,2.33
2006-10-01,-5.05
2006-11-01,-7.31
2006-12-01,-7.44
2007-01-01,-11.03
2007-02-01,-13.54
2007-03-01,-5.73
2007-04-01,-5.57
2007-05-01,-1.52
2007-06-01,5.44
2007-07-01,8.92
2007-08-01,7.31
2007-09-01,1.06
2007-10-01,-0.61
2007-11-01,-7.56
2007-12-01,-6.38
2008-01-01,-10.12
2008-02-01,-9.64
2008-03-01,-9.14
2008-04-01,-6.81
2008-05-01,-1.56
2008-06-01,
2008-07-01,8.49
2008-08-01,5.24
2008-09-01,2.29
2008-10-01,-3.24
2008-11-01,-8.45
2008-12-01,-7.83
2009-01-01,-11.29
2009-02-01,-12.84
2009-03-01,-9.58
2009-04-01,-6.17
2009-05-01,1.57
2009-06-01,
2009-07-01,7.53
2009-08-01,9.24
2009-09-01,2.75
2009-10-01,-4.0
2009-11-01,-5.81
2009-12-01,-12.16
2010-01-01,-11.19
2010-02-01,-14.17
2010-03-01,-10.47
2010-04-01,-5.09
2010-05-01,1.06
2010-06-01,2.81
2010-07-01,8.62
2010-08-01,6.11
2010-09-01,3.66
2010-10-01,-2.26
2010-11-01,
2010-12-01,
2011-01-01,-11.4
2011-02-01,-13.9
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,-2.85
2011-12-01,-7.96
2012-01-01,-12.06
2012-02-01,-11.99
2012-03-01,-7.72
2012-04-01,-7.24
2012-05-01,-2.29
2012-06-01,2.91
2012-07-01,6.98
2012-08-01,6.71
2012-09-01,1.33
2012-10-01,-3.74
2012-11-01,-6.59
2012-12-01,-12.16
2013-01-01,-8.81
2013-02-01,-9.14
2013-03-01,-13.15
2013-04-01,-6.26
2013-05-01,2.08
2013-06-01,7.97
2013-07-01,8.78
2013-08-01,8.25
2013-09-01,4.62
2013-10-01,-3.66
2013-11-01,-7.9
2013-12-01,-8.58
2014-01-01,-11.37
2014-02-01,-7.83
2014-03-01,-8.05
2014-04-01,-6.14
2014-05-01,-1.98
2014-06-01,3.94
2014-07-01,13.71
2014-08-01,8.13
2014-09-01,2.72
2014-10-01,-3.8
2014-11-01,-6.03
2014-12-01,-8.6
2015-01-01,-12.68
2015-02-01,-9.95
2015-03-01,-6.73
2015-04-01,-5.19
2015-05-01,-1.04
2015-06-01,2.42
2015-07-01,7.04
2015-08-01,9.42
2015-09-01,4.88
2015-10-01,-2.26
2015-11-01,-5.95
2015-12-01,-8.15
2016-01-01,-12.8
2016-02-01,-9.67
2016-03-01,-8.42
2016-04-01,-4.35
2016-05-01,
2016-06-01,4.18
2016-07-01,9.84
2016-08-01,6.28
2016-09-01,4.91
2016-10-01,-0.56
2016-11-01,-8.06
2016-12-01,-6.73
2017-01-01,-9.25
2017-02-01,-8.76
2017-03-01,-8.86
2017-04-01,-7.65
2017-05-01,-3.89
2017-06-01,4.17
2017-07-01,8.46
2017-08-01,6.28
2017-09-01,4.21
2017-10-01,-3.05
2017-11-01,-7.78
2017-12-01,-9.49
2018-01-01,-12.43
2018-02-01,-12.82
2018-03-01,-12.25
2018-04-01,-4.51
2018-05-01,2.59
2018-06-01,2.65
2018-07-01,13.53
2018-08-01,7.39
2018-09-01,3.23
2018-10-01,-3.14
2018-11-01,-3.16
2018-12-01,-7.95
2019-01-01,-11.98
2019-02-01,-10.55
2019-03-01,-10.64
2019-04-01,-3.42
2019-05-01,-0.78
2019-06-01,4.85
2019-07-01,8.98
2019-08-01,8.12
2019-09-01,2.32
2019-10-01,-6.47
2019-11-01,-8.65
2019-12-01,-8.12
2020-01-01,-9.7
2020-02-01,-9.38
2020-03-01,-9.24
2020-04-01,-7.08
2020-05-01,-2.61
2020-06-01,7.39
2020-07-01,7.73
2020-08-01,7.46
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
