,Temperature_C
1979-01-01,-16.2
1979-02-01,-13.79
1979-03-01,-5.73
1979-04-01,-3.85
1979-05-01,7.68
1979-06-01,13.23
1979-07-01,14.43
1979-08-01,13.21
1979-09-01,7.41
1979-10-01,-1.97
1979-11-01,-4.29
1979-12-01,-7.83
1980-01-01,-15.91
1980-02-01,-15.11
1980-03-01,-9.18
1980-04-01,0.74
1980-05-01,5.69
1980-06-01,15.57
1980-07-01,13.91
1980-08-01,11.49
1980-09-01,7.44
1980-10-01,-0.27
1980-11-01,-11.68
1980-12-01,-12.94
1981-01-01,-11.39
1981-02-01,-14.94
1981-03-01,-13.5
1981-04-01,-2.6
1981-05-01,6.74
1981-06-01,10.66
1981-07-01,15.8
1981-08-01,11.68
1981-09-01,6.87
1981-10-01,2.49
1981-11-01,-5.2
1981-12-01,-17.61
1982-01-01,-20.85
1982-02-01,-9.16
1982-03-01,-4.97
1982-04-01,-0.02
1982-05-01,5.47
1982-06-01,7.82
1982-07-01,15.06
1982-08-01,11.71
1982-09-01,7.38
1982-10-01,1.01
1982-11-01,-1.4
1982-12-01,-6.18
1983-01-01,-9.98
1983-02-01,-11.75
1983-03-01,-6.77
1983-04-01,1.76
1983-05-01,7.64
1983-06-01,11.84
1983-07-01,15.29
1983-08-01,11.03
1983-09-01,8.98
1983-10-01,1.52
1983-11-01,-11.56
1983-12-01,-12.99
1984-01-01,-12.67
1984-02-01,-6.45
1984-03-01,-9.1
1984-04-01,0.07
1984-05-01,9.64
1984-06-01,12.23
1984-07-01,14.09
1984-08-01,11.31
1984-09-01,5.77
1984-10-01,1.38
1984-11-01,-5.91
1984-12-01,-7.45
1985-01-01,-24.91
1985-02-01,-22.72
1985-03-01,-5.64
1985-04-01,-3.53
1985-05-01,3.74
1985-06-01,11.95
1985-07-01,14.13
1985-08-01,12.96
1985-09-01,7.23
1985-10-01,2.3
1985-11-01,-6.92
1985-12-01,-18.65
1986-01-01,-18.81
1986-02-01,-15.83
1986-03-01,-2.55
1986-04-01,-1.82
1986-05-01,6.76
1986-06-01,15.33
1986-07-01,14.69
1986-08-01,9.66
1986-09-01,4.21
1986-10-01,3.08
1986-11-01,-0.42
1986-12-01,-16.36
1987-01-01,-20.91
1987-02-01,-15.16
1987-03-01,-9.71
1987-04-01,-2.1
1987-05-01,5.07
1987-06-01,11.38
1987-07-01,12.7
1987-08-01,9.58
1987-09-01,6.95
1987-10-01,6.46
1987-11-01,-7.63
1987-12-01,-14.86
1988-01-01,-12.09
1988-02-01,-12.24
1988-03-01,-7.05
1988-04-01,-3.02
1988-05-01,6.32
1988-06-01,14.08
1988-07-01,18.04
1988-08-01,13.09
1988-09-01,8.7
1988-10-01,1.37
1988-11-01,-8.91
1988-12-01,-14.4
1989-01-01,-8.96
1989-02-01,-7.22
1989-03-01,-1.76
1989-04-01,2.35
1989-05-01,8.03
1989-06-01,14.39
1989-07-01,14.99
1989-08-01,13.03
1989-09-01,8.34
1989-10-01,0.41
1989-11-01,-3.96
1989-12-01,-11.13
1990-01-01,-15.18
1990-02-01,-2.43
1990-03-01,-5.72
1990-04-01,1.04
1990-05-01,5.3
1990-06-01,10.97
1990-07-01,14.26
1990-08-01,12.96
1990-09-01,5.86
1990-10-01,0.88
1990-11-01,-8.45
1990-12-01,-5.6
