,Temperature_C
1979-01-01,-5.8
1979-02-01,-5.65
1979-03-01,-4.3
1979-04-01,1.39
1979-05-01,6.0
1979-06-01,15.1
1979-07-01,16.6
1979-08-01,13.3
1979-09-01,8.7
1979-10-01,2.24
1979-11-01,0.19
1979-12-01,-2.05
1980-01-01,-5.6
1980-02-01,-4.5
1980-03-01,-3.2
1980-04-01,2.9
1980-05-01,10.65
1980-06-01,12.8
1980-07-01,14.9
1980-08-01,15.0
1980-09-01,6.4
1980-10-01,0.79
1980-11-01,-2.0
1980-12-01,-4.5
1981-01-01,-6.5
1981-02-01,-4.3
1981-03-01,-5.59
1981-04-01,-0.09
1981-05-01,6.5
1981-06-01,6.4
1981-07-01,13.9
1981-08-01,10.2
1981-09-01,7.4
1981-10-01,1.4
1981-11-01,-1.3
1981-12-01,-4.75
1982-01-01,-4.44
1982-02-01,-2.6
1982-03-01,-3.75
1982-04-01,-0.5
1982-05-01,5.85
1982-06-01,11.95
1982-07-01,14.75
1982-08-01,13.04
1982-09-01,6.1
1982-10-01,3.15
1982-11-01,-0.84
1982-12-01,-1.25
1983-01-01,-3.9
1983-02-01,-4.0
1983-03-01,-3.05
1983-04-01,2.69
1983-05-01,7.2
1983-06-01,10.75
1983-07-01,13.7
1983-08-01,10.2
1983-09-01,7.39
1983-10-01,1.4
1983-11-01,-2.4
1983-12-01,-3.69
1984-01-01,-5.8
1984-02-01,-1.45
1984-03-01,-2.9
1984-04-01,3.15
1984-05-01,10.7
1984-06-01,13.35
1984-07-01,12.75
1984-08-01,13.55
1984-09-01,7.25
1984-10-01,5.09
1984-11-01,-0.74
1984-12-01,1.3
1985-01-01,-6.09
1985-02-01,-8.09
1985-03-01,-3.1
1985-04-01,-1.34
1985-05-01,5.55
1985-06-01,12.65
1985-07-01,15.6
1985-08-01,12.85
1985-09-01,6.55
1985-10-01,3.4
1985-11-01,
1985-12-01,
