,Temperature_C
1979-01-01,-36.8
1979-02-01,-41.0
1979-03-01,-33.09
1979-04-01,-24.7
1979-05-01,-13.5
1979-06-01,-0.7
1979-07-01,4.7
1979-08-01,1.1
1979-09-01,-2.3
1979-10-01,-14.0
1979-11-01,-27.2
1979-12-01,-26.6
1980-01-01,-31.5
1980-02-01,-28.3
1980-03-01,-27.0
1980-04-01,-19.9
1980-05-01,-8.3
1980-06-01,-1.0
1980-07-01,3.0
1980-08-01,3.0
1980-09-01,-1.6
1980-10-01,-11.1
1980-11-01,-28.1
1980-12-01,-28.3
1981-01-01,-21.46
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,-10.42
1981-06-01,-0.1
1981-07-01,3.6
1981-08-01,4.4
1981-09-01,-2.3
1981-10-01,-10.1
1981-11-01,-17.4
1981-12-01,-27.7
1982-01-01,-34.8
1982-02-01,-27.3
1982-03-01,-30.2
1982-04-01,-20.6
1982-05-01,-12.3
1982-06-01,-1.3
1982-07-01,3.2
1982-08-01,4.0
1982-09-01,-0.3
1982-10-01,-12.3
1982-11-01,-25.7
1982-12-01,-28.3
1983-01-01,-27.7
1983-02-01,-28.4
1983-03-01,-25.2
1983-04-01,-23.9
1983-05-01,-8.8
1983-06-01,0.4
1983-07-01,3.5
1983-08-01,5.5
1983-09-01,-1.1
1983-10-01,-10.0
1983-11-01,-23.0
1983-12-01,-28.1
1984-01-01,-22.5
1984-02-01,-28.1
1984-03-01,-26.1
1984-04-01,-23.9
1984-05-01,-10.7
1984-06-01,0.2
1984-07-01,5.8
1984-08-01,2.3
1984-09-01,-0.8
1984-10-01,-9.2
1984-11-01,-23.2
1984-12-01,-26.1
1985-01-01,-31.0
1985-02-01,-26.2
1985-03-01,-28.9
1985-04-01,-23.7
1985-05-01,-11.0
1985-06-01,1.2
1985-07-01,2.6
1985-08-01,1.46
1985-09-01,0.1
1985-10-01,-10.2
1985-11-01,-19.2
1985-12-01,-25.0
1986-01-01,-32.9
1986-02-01,-29.4
1986-03-01,-27.7
1986-04-01,-21.8
1986-05-01,-9.8
1986-06-01,-0.9
1986-07-01,3.4
1986-08-01,1.5
1986-09-01,-2.8
1986-10-01,-10.3
1986-11-01,-23.6
1986-12-01,-29.5
1987-01-01,-31.9
1987-02-01,-34.2
1987-03-01,-30.3
1987-04-01,-18.5
1987-05-01,-10.3
1987-06-01,-1.2
1987-07-01,4.2
1987-08-01,2.9
1987-09-01,-1.6
1987-10-01,-11.47
1987-11-01,-25.36
1987-12-01,-31.84
1988-01-01,
1988-02-01,-26.63
1988-03-01,-29.33
1988-04-01,
1988-05-01,
1988-06-01,-0.09
1988-07-01,
1988-08-01,2.04
1988-09-01,
1988-10-01,-15.75
1988-11-01,-25.08
1988-12-01,-21.66
1989-01-01,
1989-02-01,-26.82
1989-03-01,-27.33
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,3.26
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,-28.17
1989-12-01,-27.16
1990-01-01,-28.34
1990-02-01,-27.65
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,1.96
1990-07-01,
1990-08-01,5.51
1990-09-01,
1990-10-01,-11.85
1990-11-01,-28.04
1990-12-01,-30.19
1991-01-01,-29.13
1991-02-01,-32.5
1991-03-01,
1991-04-01,
1991-05-01,-8.6
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,-15.8
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,-20.33
1992-05-01,-9.41
1992-06-01,
1992-07-01,0.86
1992-08-01,
1992-09-01,-4.79
1992-10-01,
1992-11-01,
1992-12-01,
