,Temperature_C
2006-05-01,-3.19
2006-06-01,8.45
2006-07-01,8.92
2006-08-01,5.42
2006-09-01,4.93
2006-10-01,
2006-11-01,-17.82
2006-12-01,-19.32
2007-01-01,-25.77
2007-02-01,-24.98
2007-03-01,-29.53
2007-04-01,-13.01
2007-05-01,-7.12
2007-06-01,4.69
2007-07-01,8.85
2007-08-01,8.01
2007-09-01,3.55
2007-10-01,-6.79
2007-11-01,-11.71
2007-12-01,-19.83
2008-01-01,-28.37
2008-02-01,-27.78
2008-03-01,-30.03
2008-04-01,-12.66
2008-05-01,-2.44
2008-06-01,7.65
2008-07-01,10.6
2008-08-01,6.12
2008-09-01,1.92
2008-10-01,-7.95
2008-11-01,-15.9
2008-12-01,-18.45
2009-01-01,-26.71
2009-02-01,-25.62
2009-03-01,-29.42
2009-04-01,-14.4
2009-05-01,-3.38
2009-06-01,4.14
2009-07-01,8.93
2009-08-01,7.65
2009-09-01,2.64
2009-10-01,-4.04
2009-11-01,-18.44
2009-12-01,-19.35
2010-01-01,-27.34
2010-02-01,-23.82
2010-03-01,-24.15
2010-04-01,-11.84
2010-05-01,-4.9
2010-06-01,3.88
2010-07-01,10.17
2010-08-01,8.97
2010-09-01,3.66
2010-10-01,-5.55
2010-11-01,-11.03
2010-12-01,-25.65
2011-01-01,-24.32
2011-02-01,-20.94
2011-03-01,-22.02
2011-04-01,-18.78
2011-05-01,-5.02
2011-06-01,3.95
2011-07-01,9.81
2011-08-01,7.99
2011-09-01,3.64
2011-10-01,-4.22
2011-11-01,-20.07
2011-12-01,-25.06
2012-01-01,-31.45
2012-02-01,-24.73
2012-03-01,-33.71
2012-04-01,-15.31
2012-05-01,-4.67
2012-06-01,6.51
2012-07-01,11.75
2012-08-01,10.66
2012-09-01,4.36
2012-10-01,-4.27
2012-11-01,-17.41
2012-12-01,-24.19
2013-01-01,-25.67
2013-02-01,-31.29
2013-03-01,-22.88
2013-04-01,-19.24
2013-05-01,-6.83
2013-06-01,6.86
2013-07-01,9.57
2013-08-01,8.45
2013-09-01,0.78
2013-10-01,-4.48
2013-11-01,-15.74
2013-12-01,-20.28
2014-01-01,-22.07
2014-02-01,-24.69
2014-03-01,-22.37
2014-04-01,-15.13
2014-05-01,-1.58
2014-06-01,4.24
2014-07-01,7.69
2014-08-01,6.17
2014-09-01,2.1
2014-10-01,-4.66
2014-11-01,-13.32
2014-12-01,-21.41
2015-01-01,-23.58
2015-02-01,-21.07
2015-03-01,-23.32
2015-04-01,-12.5
2015-05-01,-0.03
2015-06-01,9.25
2015-07-01,7.37
2015-08-01,5.75
2015-09-01,-0.29
2015-10-01,-6.19
2015-11-01,-16.04
2015-12-01,-25.39
2016-01-01,-19.5
2016-02-01,-19.58
2016-03-01,-21.75
2016-04-01,-10.46
2016-05-01,-0.43
2016-06-01,6.17
2016-07-01,9.81
2016-08-01,8.03
2016-09-01,2.62
2016-10-01,-3.87
2016-11-01,-12.8
2016-12-01,-21.08
2017-01-01,-20.85
2017-02-01,-23.51
2017-03-01,-23.28
2017-04-01,-14.72
2017-05-01,-2.28
2017-06-01,4.0
2017-07-01,10.71
2017-08-01,7.23
2017-09-01,2.92
2017-10-01,-6.09
2017-11-01,-11.23
2017-12-01,-14.49
2018-01-01,-22.1
2018-02-01,-16.05
2018-03-01,-17.61
2018-04-01,-15.26
2018-05-01,-4.69
2018-06-01,1.94
2018-07-01,10.76
2018-08-01,4.26
2018-09-01,2.08
2018-10-01,-4.49
2018-11-01,-13.3
2018-12-01,-21.34
2019-01-01,-24.08
2019-02-01,-17.0
2019-03-01,-13.02
2019-04-01,-13.34
2019-05-01,-1.04
2019-06-01,3.99
2019-07-01,10.84
2019-08-01,6.13
2019-09-01,4.48
2019-10-01,-4.1
2019-11-01,-11.98
2019-12-01,-21.43
2020-01-01,-30.25
2020-02-01,-33.64
2020-03-01,-22.07
2020-04-01,-13.85
2020-05-01,-4.38
2020-06-01,4.15
2020-07-01,6.34
2020-08-01,7.16
2020-09-01,1.93
2020-10-01,
2020-11-01,
2020-12-01,
