,Temperature_C
1979-01-01,-8.08
1979-02-01,-8.04
1979-03-01,-7.53
1979-04-01,-0.84
1979-05-01,5.66
1979-06-01,13.35
1979-07-01,16.21
1979-08-01,12.91
1979-09-01,8.36
1979-10-01,1.71
1979-11-01,-2.09
1979-12-01,-6.93
1980-01-01,-8.04
1980-02-01,-8.58
1980-03-01,-6.64
1980-04-01,0.42
1980-05-01,10.21
1980-06-01,13.41
1980-07-01,15.66
1980-08-01,14.91
1980-09-01,6.81
1980-10-01,-2.79
1980-11-01,-7.18
1980-12-01,-7.44
1981-01-01,-8.34
1981-02-01,-5.04
1981-03-01,-7.79
1981-04-01,-0.69
1981-05-01,6.61
1981-06-01,8.01
1981-07-01,14.46
1981-08-01,11.61
1981-09-01,8.46
1981-10-01,3.41
1981-11-01,-5.08
1981-12-01,-6.59
1982-01-01,-7.54
1982-02-01,-2.69
1982-03-01,-2.34
1982-04-01,-2.23
1982-05-01,5.81
1982-06-01,10.95
1982-07-01,14.41
1982-08-01,12.41
1982-09-01,7.66
1982-10-01,3.66
1982-11-01,-2.84
1982-12-01,-4.49
1983-01-01,-6.14
1983-02-01,-5.34
1983-03-01,-6.49
1983-04-01,0.01
1983-05-01,7.16
1983-06-01,9.71
1983-07-01,14.61
1983-08-01,11.06
1983-09-01,9.61
1983-10-01,0.31
1983-11-01,-4.34
1983-12-01,-4.29
1984-01-01,-8.89
1984-02-01,-2.04
1984-03-01,-5.34
1984-04-01,1.21
1984-05-01,9.86
1984-06-01,12.61
1984-07-01,12.91
1984-08-01,14.01
1984-09-01,6.71
1984-10-01,5.4
1984-11-01,-0.53
1984-12-01,0.66
1985-01-01,-7.99
1985-02-01,-10.39
1985-03-01,-5.39
1985-04-01,-4.19
1985-05-01,5.6
1985-06-01,14.31
1985-07-01,15.51
1985-08-01,12.76
1985-09-01,6.2
1985-10-01,2.51
1985-11-01,-6.79
1985-12-01,-8.69
1986-01-01,-12.19
1986-02-01,-7.84
1986-03-01,-1.49
1986-04-01,-3.14
1986-05-01,9.11
1986-06-01,14.46
1986-07-01,14.56
1986-08-01,11.46
1986-09-01,3.0
1986-10-01,5.25
1986-11-01,-1.79
1986-12-01,-7.89
1987-01-01,-9.33
1987-02-01,-9.48
1987-03-01,-7.39
1987-04-01,-0.94
1987-05-01,7.51
1987-06-01,10.56
1987-07-01,14.66
1987-08-01,10.01
1987-09-01,8.26
1987-10-01,6.56
1987-11-01,0.66
1987-12-01,-5.79
1988-01-01,-5.34
1988-02-01,-7.69
1988-03-01,-5.59
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,-3.6
1989-01-01,0.3
1989-02-01,-1.0
1989-03-01,-0.2
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,11.6
1989-09-01,7.5
1989-10-01,2.2
1989-11-01,0.6
1989-12-01,-5.4
1990-01-01,-3.5
1990-02-01,0.7
1990-03-01,-0.5
1990-04-01,1.5
1990-05-01,5.2
1990-06-01,11.1
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,0.3
1991-01-01,-2.2
1991-02-01,-5.6
1991-03-01,-1.8
1991-04-01,1.2
1991-05-01,4.3
1991-06-01,10.1
1991-07-01,13.2
1991-08-01,12.1
1991-09-01,5.6
1991-10-01,3.8
1991-11-01,-0.1
1991-12-01,
1992-01-01,-0.9
1992-02-01,-2.09
1992-03-01,-0.1
1992-04-01,-1.2
1992-05-01,7.0
1992-06-01,11.2
1992-07-01,10.8
1992-08-01,10.4
1992-09-01,8.4
1992-10-01,-3.3
1992-11-01,-2.7
1992-12-01,0.7
1993-01-01,-2.6
1993-02-01,-2.2
1993-03-01,-0.8
1993-04-01,-0.1
1993-05-01,6.1
1993-06-01,7.6
1993-07-01,12.8
1993-08-01,10.5
1993-09-01,5.5
1993-10-01,0.7
1993-11-01,0.6
1993-12-01,-4.9
