,Temperature_C
1979-01-01,-39.9
1979-02-01,-42.5
1979-03-01,-32.5
1979-04-01,-23.2
1979-05-01,-13.5
1979-06-01,0.9
1979-07-01,6.2
1979-08-01,4.0
1979-09-01,-1.6
1979-10-01,-14.3
1979-11-01,-27.0
1979-12-01,-28.7
1980-01-01,-34.7
1980-02-01,-30.6
1980-03-01,-29.0
1980-04-01,-19.7
1980-05-01,-8.3
1980-06-01,-0.2
1980-07-01,4.1
1980-08-01,5.8
1980-09-01,0.3
1980-10-01,-9.3
1980-11-01,-27.2
1980-12-01,-31.7
1981-01-01,-29.8
1981-02-01,-30.9
1981-03-01,-28.3
1981-04-01,-20.6
1981-05-01,-12.3
1981-06-01,0.1
1981-07-01,4.3
1981-08-01,6.4
1981-09-01,-0.5
1981-10-01,-10.2
1981-11-01,-17.7
1981-12-01,-28.9
1982-01-01,-38.9
1982-02-01,-30.6
1982-03-01,-31.5
1982-04-01,-20.2
1982-05-01,-12.6
1982-06-01,-0.3
1982-07-01,4.5
1982-08-01,6.6
1982-09-01,1.1
1982-10-01,-13.7
1982-11-01,-28.4
1982-12-01,-30.1
1983-01-01,-28.3
1983-02-01,-29.6
1983-03-01,-26.0
1983-04-01,-22.9
1983-05-01,-9.3
1983-06-01,0.9
1983-07-01,4.2
1983-08-01,7.3
1983-09-01,1.3
1983-10-01,-9.5
1983-11-01,-21.9
1983-12-01,-31.1
1984-01-01,-26.0
1984-02-01,-31.2
1984-03-01,-28.4
1984-04-01,-24.4
1984-05-01,-10.4
1984-06-01,0.4
1984-07-01,8.4
1984-08-01,4.3
1984-09-01,1.1
1984-10-01,-10.5
1984-11-01,-23.9
1984-12-01,-28.5
1985-01-01,-36.0
1985-02-01,-29.3
1985-03-01,-29.9
1985-04-01,-23.0
1985-05-01,-10.6
1985-06-01,1.6
1985-07-01,4.2
1985-08-01,3.8
1985-09-01,1.0
1985-10-01,-10.3
1985-11-01,-21.4
1985-12-01,-26.8
1986-01-01,-34.5
1986-02-01,-30.9
1986-03-01,-31.4
1986-04-01,-23.1
1986-05-01,-10.1
1986-06-01,-1.4
1986-07-01,3.8
1986-08-01,4.0
1986-09-01,-0.9
1986-10-01,-9.1
1986-11-01,-25.3
1986-12-01,-32.8
1987-01-01,-36.59
1987-02-01,-34.8
1987-03-01,-30.1
1987-04-01,-18.9
1987-05-01,-9.8
1987-06-01,-1.2
1987-07-01,4.9
1987-08-01,4.6
1987-09-01,0.3
1987-10-01,-9.89
1987-11-01,-25.6
1987-12-01,-32.3
1988-01-01,-31.0
1988-02-01,-29.6
1988-03-01,-29.1
1988-04-01,-23.3
1988-05-01,-7.9
1988-06-01,1.8
1988-07-01,4.7
1988-08-01,4.5
1988-09-01,0.1
1988-10-01,-13.2
1988-11-01,-24.7
1988-12-01,-21.9
1989-01-01,-31.1
1989-02-01,-29.7
1989-03-01,-26.4
1989-04-01,-22.8
1989-05-01,-8.0
1989-06-01,-1.7
1989-07-01,2.9
1989-08-01,3.3
1989-09-01,-1.2
1989-10-01,-14.2
1989-11-01,-29.3
1989-12-01,-29.2
1990-01-01,-32.8
1990-02-01,-32.0
1990-03-01,-23.0
1990-04-01,-15.2
1990-05-01,-6.7
1990-06-01,3.4
1990-07-01,5.5
1990-08-01,7.3
1990-09-01,2.2
1990-10-01,-11.6
1990-11-01,
1990-12-01,-28.8
