,Temperature_C
1979-01-01,-14.07
1979-02-01,-18.37
1979-03-01,-21.77
1979-04-01,-16.87
1979-05-01,-5.07
1979-06-01,2.23
1979-07-01,6.33
1979-08-01,4.83
1979-09-01,0.53
1979-10-01,-3.66
1979-11-01,-15.17
1979-12-01,-22.47
1980-01-01,-22.47
1980-02-01,-22.47
1980-03-01,-23.37
1980-04-01,-18.57
1980-05-01,-6.07
1980-06-01,2.93
1980-07-01,6.13
1980-08-01,5.03
1980-09-01,2.53
1980-10-01,-5.37
1980-11-01,-16.57
1980-12-01,-22.47
1981-01-01,-22.97
1981-02-01,-22.37
1981-03-01,-22.47
1981-04-01,-12.57
1981-05-01,-1.56
1981-06-01,3.83
1981-07-01,5.83
1981-08-01,2.13
1981-09-01,0.03
1981-10-01,-4.07
1981-11-01,-12.37
1981-12-01,-18.47
1982-01-01,-18.17
1982-02-01,-14.47
1982-03-01,-19.07
1982-04-01,-16.87
1982-05-01,-8.36
1982-06-01,1.43
1982-07-01,4.53
1982-08-01,6.43
1982-09-01,2.23
1982-10-01,-4.97
1982-11-01,-11.37
1982-12-01,-16.67
1983-01-01,-21.77
1983-02-01,-25.76
1983-03-01,-22.66
1983-04-01,-14.46
1983-05-01,-4.66
1983-06-01,2.14
1983-07-01,6.54
1983-08-01,5.44
1983-09-01,-0.46
1983-10-01,-8.46
1983-11-01,-17.86
1983-12-01,-10.16
1984-01-01,-20.56
1984-02-01,-30.66
1984-03-01,-24.06
1984-04-01,-20.76
1984-05-01,-5.66
1984-06-01,3.74
1984-07-01,6.84
1984-08-01,4.84
1984-09-01,3.64
1984-10-01,-0.76
1984-11-01,-8.46
1984-12-01,-19.36
1985-01-01,-18.66
1985-02-01,-19.96
1985-03-01,-26.36
1985-04-01,-22.06
1985-05-01,-5.16
1985-06-01,0.94
1985-07-01,7.74
1985-08-01,7.14
1985-09-01,2.14
1985-10-01,-7.46
1985-11-01,-8.06
1985-12-01,-17.66
1986-01-01,-24.96
1986-02-01,-20.06
1986-03-01,-21.46
1986-04-01,-14.46
1986-05-01,-2.95
1986-06-01,4.14
1986-07-01,6.84
1986-08-01,3.14
1986-09-01,0.84
1986-10-01,-6.36
1986-11-01,-9.66
1986-12-01,-17.96
1987-01-01,-23.46
1987-02-01,-30.06
1987-03-01,-21.96
1987-04-01,-17.76
1987-05-01,-3.56
1987-06-01,1.84
1987-07-01,6.14
1987-08-01,7.04
1987-09-01,0.44
1987-10-01,-4.56
1987-11-01,-14.06
1987-12-01,-25.36
1988-01-01,-17.66
1988-02-01,-24.16
1988-03-01,-24.56
1988-04-01,-12.66
1988-05-01,-5.06
1988-06-01,1.94
1988-07-01,8.04
1988-08-01,4.74
1988-09-01,0.84
1988-10-01,-3.96
1988-11-01,-16.2
1988-12-01,-21.5
1989-01-01,-29.1
1989-02-01,-9.1
1989-03-01,-14.7
1989-04-01,-13.0
1989-05-01,-5.7
1989-06-01,2.8
1989-07-01,5.4
1989-08-01,5.2
1989-09-01,3.4
1989-10-01,-1.8
1989-11-01,-11.8
1989-12-01,-18.7
1990-01-01,-26.7
1990-02-01,-30.4
1990-03-01,-21.5
1990-04-01,-9.7
1990-05-01,-2.09
1990-06-01,3.5
1990-07-01,6.3
1990-08-01,8.2
1990-09-01,2.2
1990-10-01,-2.9
1990-11-01,-11.8
1990-12-01,-20.8
1991-01-01,-22.8
1991-02-01,-24.9
1991-03-01,-23.4
1991-04-01,-14.6
1991-05-01,-2.3
1991-06-01,4.1
1991-07-01,6.7
1991-08-01,5.5
1991-09-01,3.4
1991-10-01,-1.6
1991-11-01,-7.4
1991-12-01,-18.79
1992-01-01,-24.9
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,
1992-09-01,
1992-10-01,
1992-11-01,
1992-12-01,
