,Temperature_C
1979-01-01,-15.58
1979-02-01,-12.26
1979-03-01,-6.02
1979-04-01,-2.09
1979-05-01,5.62
1979-06-01,12.8
1979-07-01,14.48
1979-08-01,12.37
1979-09-01,6.26
1979-10-01,-2.77
1979-11-01,-6.36
1979-12-01,-8.46
1980-01-01,-13.87
1980-02-01,-16.13
1980-03-01,-8.84
1980-04-01,0.72
1980-05-01,5.35
1980-06-01,14.83
1980-07-01,14.8
1980-08-01,11.97
1980-09-01,7.4
1980-10-01,-1.54
1980-11-01,-10.34
1980-12-01,-11.73
1981-01-01,-10.96
1981-02-01,-13.62
1981-03-01,-11.94
1981-04-01,-0.68
1981-05-01,7.53
1981-06-01,8.88
1981-07-01,14.26
1981-08-01,10.69
1981-09-01,6.49
1981-10-01,0.51
1981-11-01,-7.15
1981-12-01,-17.05
1982-01-01,-13.3
1982-02-01,-6.49
1982-03-01,-4.21
1982-04-01,-0.35
1982-05-01,4.77
1982-06-01,7.83
1982-07-01,14.11
1982-08-01,11.35
1982-09-01,5.79
1982-10-01,0.13
1982-11-01,-4.26
1982-12-01,-7.49
1983-01-01,-9.43
1983-02-01,-8.96
1983-03-01,-6.02
1983-04-01,0.63
1983-05-01,7.64
1983-06-01,10.87
1983-07-01,14.19
1983-08-01,10.55
1983-09-01,7.04
1983-10-01,-0.08
1983-11-01,-8.64
1983-12-01,-10.88
1984-01-01,-12.66
1984-02-01,-6.41
1984-03-01,-7.9
1984-04-01,0.76
1984-05-01,9.28
1984-06-01,11.6
1984-07-01,12.68
1984-08-01,10.94
1984-09-01,5.49
1984-10-01,-0.15
1984-11-01,-7.85
1984-12-01,-6.17
1985-01-01,-17.43
1985-02-01,-20.3
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
